gene,n_tissue,tissue_1,tissue_2,tissue_3,tissue_4,tissue_5,tissue_6,direct_association.diseaseId,direct_association.score,direct_association.disease,ensembl_ID
GSN,2,KIDNEY,SMLINT,"","","","",Orphanet_85448,0.726046545167165,"Familial amyloidosis, Finnish type: NA",ENSG00000148180
SEC24D,2,ADRNL,COLON,"","","","",Orphanet_2050,0.725914089097047,"Cole-Carpenter syndrome: Cole-Carpenter syndrome is an extremely rare form of bone dysplasia characterized by the features of osteogenesis imperfecta such as bone fragility associated with multiple fractures, bone deformities (metaphyseal irregularities and bowing of the long bones) and blue sclera, in association with growth failure, craniosynostosis, hydrocephalus, ocular proptosis, and distinctive facial features (e.g. frontal bossing, midface hypoplasia, and micrognathia).",ENSG00000150961
NTRK2,2,HIPPOC,LUNG,"","","","",MONDO_0013483,0.719328397967341,"obesity, hyperphagia, and developmental delay: NA",ENSG00000148053
FMO3,2,LUNG,SPLEEN,"","","","",HP_0003614,0.709453075958308,Trimethylaminuria: Increased concentration of trimethylamine in the urine.,ENSG00000007933
APOA1,2,COLON,LIVER,"","","","",Orphanet_425,0.706076798514964,"Apolipoprotein A-I deficiency: Apolipoprotein AI (Apo A-I) deficiency is a rare lipoprotein metabolism disorder characterized biochemically by complete absence of apolipoprotein AI and extremely low plasma high density lipoprotein (HDL) cholesterol, and clinically by corneal opacities and xanthomas complicated with premature coronary heart disease (CHD).",ENSG00000118137
BCL11B,2,COLON,SPLEEN,"","","","",MONDO_0060763,0.705580574546984,"intellectual developmental disorder with speech delay, dysmorphic facies, and t-cell abnormalities: Any BAFopathy in which the cause of the disease is a mutation in the BCL11B gene.",ENSG00000127152
MRPS2,2,ADRNL,COLON,"","","","",MONDO_0054781,0.705505017281878,combined oxidative phosphorylation deficiency 36: NA,ENSG00000122140
TUBB,2,HEART,SPLEEN,"","","","",Orphanet_2505,0.686186596864597,Multiple benign circumferential skin creases on limbs: NA,ENSG00000196230
ZAP70,2,SMLINT,SPLEEN,"","","","",EFO_0005140,0.683780352569419,autoimmune disease: Autoimmune disease or disorder is a disease characterized by an immune response of an organism against parts of itself causing pathology e.g. Graves' disease.,ENSG00000115085
DHDDS,2,ADRNL,HEART,"","","","",MONDO_0044326,0.678141367674667,"developmental delay and seizures with or without movement abnormalities: DEDSM is a neurodevelopmental disorder characterized by global developmental delay, variable intellectual disability, and early-onset seizures with a myoclonic component. Most patients have delayed motor development and show abnormal movements, including ataxia, dystonia, and tremor (summary by {1:Hamdan et al., 2017}).",ENSG00000117682
SLC39A8,2,ADRNL,LUNG,"","","","",EFO_0005546,0.667506024016739,congenital disorder of glycosylation type II: A congenital disorder of glycosylation that involves malfunctioning trimming/processing of the protein-bound oligosaccharide chain.,ENSG00000138821
TGFBR2,2,ADRNL,COLON,"","","","",Orphanet_144,0.63030395664557,"Lynch syndrome: An autosomal dominant hereditary neoplastic syndrome characterized by the development of colorectal carcinoma and a high risk of developing endometrial carcinoma, gastric carcinoma, ovarian carcinoma, renal pelvis carcinoma, and small intestinal carcinoma. Patients often develop colorectal carcinomas at an early age (mean, 45 years). In the majority of the cases the lesions arise from the proximal colon. At the molecular level, high-frequency microsatellite instability is present.",ENSG00000163513
VIM,2,KIDNEY,LUNG,"","","","",Orphanet_98984,0.618532951243147,Pulverulent cataract: A cataract that has material basis in heterozygous mutation in the CRYGC gene on chromosome 2q33.,ENSG00000026025
FAAH,2,COLON,SPLEEN,"","","","",EFO_0007214,0.603469433291538,"common cold: An upper respiratory tract disease which involves inflammation of the mucous membranes of the nose, throat, eyes, and eustachian tubes with watery then purulent discharge. This is an acute contagious disease caused by rhinoviruses, human parainfluenza viruses, human respiratory syncytial virus, influenza viruses, adenoviruses, enteroviruses, or metapneumovirus.",ENSG00000117480
SSTR3,2,ADRNL,SPLEEN,"","","","",EFO_1001485,0.600781669983027,acromegaly: Acromegaly is an acquired disorder related to excessive production of growth hormone (GH) and characterized by progressive somatic disfigurement (mainly involving the face and extremities) and systemic manifestations.,ENSG00000278195
GAA,2,ADRNL,HEART,"","","","",Orphanet_308604,0.595686049804261,"Glycogen storage disease due to acid maltase deficiency, adult onset: Glycogen storage disease due to acid maltase deficiency, late onset (AMDL), a form of Glycogen storage disease due to acid maltase deficiency (AMD), a degenerative metabolic myopathy particularly affecting respiratory and skeletal muscles, is characterized by an accumulation of glycogen in lysosomes.",ENSG00000171298
VIM,2,KIDNEY,LUNG,"","","","",Orphanet_98992,0.595434210325353,Partial congenital cataract: NA,ENSG00000026025
GAA,2,ADRNL,HEART,"","","","",Orphanet_308552,0.586034691014211,"Glycogen storage disease due to acid maltase deficiency, infantile onset: Glycogen storage disease due to acid maltase deficiency, infantile onset is the most severe form of glycogen storage disease due to acid maltase deficiency, characterized by cardiomegaly with respiratory distress, muscle weakness and feeding difficulties. It is often fatal.",ENSG00000171298
UGP2,2,HEART,LIVER,"","","","",MONDO_0032895,0.583936170401829,"developmental and epileptic encephalopathy, 83: NA",ENSG00000169764
ADD3,2,COLON,SPLEEN,"","","","",Orphanet_210141,0.578392472581558,Inherited congenital spastic tetraplegia: A type of spastic cerebral palsy characterized by increased muscle tone of all four extremities.,ENSG00000148700
MMP9,2,KIDNEY,SMLINT,"","","","",Orphanet_1040,0.565416865165455,"Metaphyseal anadysplasia: Metaphyseal anadysplasia is a very rare form of metaphyseal dysplasia characterized by short stature, rhizomelic micromelia and a mild varus deformity of the legs evident from the first months of life, that is associated with radiological features of severe metaphyseal changes (irregularities, widening and marginal blurring) in long bones, most prominent in proximal femurs, and generalized osteopenia, and that usually spontaneously resolves by the age of three years. Severe autosomal dominant and milder recessive variants have been observed.",ENSG00000100985
FAAH,2,COLON,SPLEEN,"","","","",EFO_0009846,0.564504420077356,"muscle cramp: A sustained, sudden and involuntary contraction of a muscle or group of muscles.",ENSG00000117480
PPIA,2,COLON,SPLEEN,"","","","",EFO_0003047,0.560365939934723,"hepatitis C virus infection: A Hepacivirus infectious disease and is_a viral hepatitis that results_in inflammation located_in liver, has_agent Hepatitis C virus, which is transmitted_by blood from an infected person enters the body of an uninfected person. The infection has_symptom fever, has_symptom fatigue, has_symptom loss of appetite, has_symptom nausea, has_symptom vomiting, has_symptom abdominal pain, has_symptom clay-colored bowel movements, has_symptom joint pain, and has_symptom jaundice.",ENSG00000196262
FAAH,2,COLON,SPLEEN,"","","","",HP_0100607,0.548107456711562,Dysmenorrhea: Pain during menstruation that interferes with daily activities.,ENSG00000117480
PPIA,2,COLON,SPLEEN,"","","","",MONDO_0013730,0.544166908848243,graft versus host disease: Acute graft-versus-host disease (GVHD) occurs after allogeneic hematopoietic stem cell transplant and is a reaction of donor immune cells against host tissues. Activated donor T cells damage host epithelial cells after an inflammatory cascade that begins with the preparative regimen.,ENSG00000196262
VCAN,2,ADRNL,SPLEEN,"","","","",EFO_0005674,0.538044968937374,white matter microstructure measurement: quantification of the microstructre of the white matter of the brain,ENSG00000038427
ERBB3,2,KIDNEY,LUNG,"","","","",Orphanet_137776,0.534447292288124,"Lethal congenital contracture syndrome type 2: Lethal congenital contracture syndrome type 2 is a rare arthrogryposis syndrome characterized by multiple congenital contactures (typically extended elbows and flexed knees), micrognathia, anterior horn cell degeneration, skeletal muscle atrophy (mainly in the lower limbs), presence of a markedly distended urinary bladder and absence of hydrops, pterygia and bone fractures. Other craniofacial (e.g. cleft palate, facial palsy) and ocular (e.g. anisocoria, retinal detachment) anomalies may be additionally observed. The disease is usually neonatally lethal however, survival into adolescence has been reported.",ENSG00000065361
IVNS1ABP,2,HEART,LUNG,"","","","",MONDO_0033542,0.528704514340615,immunodeficiency 70: NA,ENSG00000116679
SSTR3,2,ADRNL,SPLEEN,"","","","",EFO_1000852,0.520044738754627,carcinoid syndrome: NA,ENSG00000278195
FAAH,2,COLON,SPLEEN,"","","","",HP_0001643,0.516149883910412,"Patent ductus arteriosus: In utero, the ductus arteriosus (DA) serves to divert ventricular output away from the lungs and toward the placenta by connecting the main pulmonary artery to the descending aorta. A patent ductus arteriosus (PDA) in the first 3 days of life is a physiologic shunt in healthy term and preterm newborn infants, and normally is substantially closed within about 24 hours after bith and completely closed after about three weeks. Failure of physiologcal closure is referred to a persistent or patent ductus arteriosus (PDA). Depending on the degree of left-to-right shunting, PDA can have clinical consequences.",ENSG00000117480
SLC39A8,2,ADRNL,LUNG,"","","","",EFO_0009458,0.511343299610068,"alcohol use disorder measurement: A quantitative measure of alcohol use disorder, e.g. using the Alcohol Use Disorders Identification Test.",ENSG00000138821
GLP1R,2,LUNG,SPLEEN,"","","","",HP_0003074,0.508368977530809,Hyperglycemia: An increased concentration of glucose in the blood.,ENSG00000112164
SSTR3,2,ADRNL,SPLEEN,"","","","",MONDO_0024503,0.504357428630307,"digestive system neuroendocrine neoplasm: A neoplasm with neuroendocrine differentiation arising from the digestive system. It includes neuroendocrine tumors (well-differentiated endocrine tumors or carcinoid tumors and well differentiated endocrine carcinomas) and neuroendocrine carcinomas (poorly differentiated neuroendocrine carcinomas, small cell carcinomas, and large cell neuroendocrine carcinomas).",ENSG00000278195
CRYBB1,2,COLON,HEART,"","","","",Orphanet_98991,0.503177839099684,Nuclear cataract: NA,ENSG00000100122
HSD11B2,2,ADRNL,KIDNEY,"","","","",EFO_0003948,0.503039246654177,"gastroesophageal reflux disease: Retrograde flow of gastric juice (GASTRIC ACID) and/or duodenal contents (BILE ACIDS; PANCREATIC JUICE) into the distal ESOPHAGUS, commonly due to incompetence of the LOWER ESOPHAGEAL SPHINCTER.",ENSG00000176387
HSD11B2,2,ADRNL,KIDNEY,"","","","",HP_0004398,0.503039246654177,Peptic ulcer: An ulcer of the gastrointestinal tract.,ENSG00000176387
SSTR3,2,ADRNL,SPLEEN,"","","","",EFO_0009545,0.490719918164687,esophageal varices: Abnormally dilated veins of the esophagus.,ENSG00000278195
VCAN,2,ADRNL,SPLEEN,"","","","",EFO_0004641,0.487072768804419,white matter integrity: White matter integrity is a measure of brain white matter using brain imaging and quantification techniques. White matter integrity is used as a measure of CNS function.,ENSG00000038427
PPIA,2,COLON,SPLEEN,"","","","",HP_0001915,0.486507624463593,Aplastic anemia: Aplastic anemia is defined as pancytopenia with a hypocellular marrow.,ENSG00000196262
PPIA,2,COLON,SPLEEN,"","","","",EFO_0007141,0.485688897160978,"allergic conjunctivitis: A chronic conjunctivitis that is an inflammation of the conjunctiva involing red, itchy, and watery eyes a resulting from an exposure to an allergen or an irritant.",ENSG00000196262
SSTR3,2,ADRNL,SPLEEN,"","","","",EFO_1001110,0.484180407958183,pituitary-dependent Cushing's disease: A disease of the PITUITARY GLAND characterized by the excess amount of ADRENOCORTICOTROPIC HORMONE secreted. This leads to hypersecretion of cortisol (HYDROCORTISONE) by the ADRENAL GLANDS resulting in CUSHING SYNDROME.,ENSG00000278195
ZAP70,2,SMLINT,SPLEEN,"","","","",EFO_1001451,0.481758222642334,X-Linked Combined Immunodeficiency Diseases: Forms of combined immunodeficiency caused by mutations in the gene for INTERLEUKIN RECEPTOR COMMON GAMMA SUBUNIT. Both severe and non-severe subtypes of the disease have been identified.,ENSG00000115085
AIMP2,2,ADRNL,COLON,"","","","",MONDO_0054817,0.478492984638868,"leukodystrophy, hypomyelinating, 17: NA",ENSG00000106305
APOA1,2,COLON,LIVER,"","","","",Orphanet_31153,0.468456357901057,Hypoalphalipoproteinemia: A metabolic disorder characterized by deficiency of high density (alpha) lipoprotein in the blood.,ENSG00000118137
PPIA,2,COLON,SPLEEN,"","","","",EFO_0004254,0.467621177246893,"membranous glomerulonephritis: A slowly progressive inflammation of the glomeruli characterized by immune complex deposits at the glomerular basement membrane, resulting in a thickened membrane, and nephrotic syndrome.",ENSG00000196262
ERBB3,2,KIDNEY,LUNG,"","","","",EFO_1000613,0.464985489146531,"Uterine Carcinosarcoma: A usually aggressive malignant neoplasm arising from the uterine corpus and less often the cervix. It is characterized by the presence of two components: a malignant epithelial component and a sarcomatous component. In the uterine corpus the epithelial component is usually glandular whereas in the cervix is usually non-glandular. Carcinosarcoma of the cervix, although it is aggressive, it may have a better prognosis compared to the uterine corpus carcinosarcoma.",ENSG00000065361
ZAP70,2,SMLINT,SPLEEN,"","","","",Orphanet_101972,0.464302042168613,"Combined T and B cell immunodeficiency: A broad classification of inherited disorders presenting at birth that affect both the cell-mediated and humoral aspects of the immune response. Circulating numbers of B lymphocytes, T lymphocytes and NK cells are variable but where present do not function properly. Susceptibility to infection is the primary concern.",ENSG00000115085
SSTR3,2,ADRNL,SPLEEN,"","","","",EFO_0001422,0.463637927701958,"cirrhosis of liver: A disorder characterized by replacement of the liver parenchyma with fibrous tissue and regenerative nodules. It is usually caused by alcoholism, hepatitis B, and hepatitis C. Complications include the development of ascites, esophageal varices, bleeding, and hepatic encephalopathy.",ENSG00000278195
PPIA,2,COLON,SPLEEN,"","","","",EFO_1002048,0.463001429063335,kidney failure: An acute or chronic condition that is characterized by the inability of the kidneys to adequately filter the blood. [ NCIt:P378 ],ENSG00000196262
PNP,2,ADRNL,SPLEEN,"","","","",Orphanet_317416,0.461974818355877,"T-B+ severe combined immunodeficiency: T-B+ severe combined immunodeficiency (SCID) is a group of rare monogenic primary immunodeficiency disorders characterized by a lack of functional peripheral T lymphocytes with presence of B lymphocytes, resulting in early-onset severe respiratory viral, bacterial or fungal infections, diarrhea and failure to thrive.",ENSG00000198805
PPIA,2,COLON,SPLEEN,"","","","",MONDO_0004768,0.461974818355877,keratoconjunctivitis: Inflammation of both the cornea and the conjunctiva.,ENSG00000196262
PPIA,2,COLON,SPLEEN,"","","","",Orphanet_231214,0.461974818355877,Beta-thalassemia major: Beta-thalassemia (BT) major is a severe early-onset form of BT characterized by severe anemia requiring regular red blood cell transfusions.,ENSG00000196262
FAAH,2,COLON,SPLEEN,"","","","",EFO_0003943,0.461974818355877,humerus fracture: A traumatic or pathologic injury to the humerus in which the continuity of the humerus is broken.,ENSG00000117480
FAAH,2,COLON,SPLEEN,"","","","",HP_0011868,0.461974818355877,Sciatica: Pain in the lower back and hip radiating in the distribution of the sciatic nerve.,ENSG00000117480
TAGAP,2,LUNG,SPLEEN,"","","","",EFO_0001060,0.461274170810703,"celiac disease: A malabsorption syndrome that is precipitated by the ingestion of GLUTEN-containing foods, such as wheat, rye, and barley. It is characterized by INFLAMMATION of the SMALL INTESTINE, loss of MICROVILLI structure, failed INTESTINAL ABSORPTION, and MALNUTRITION.",ENSG00000164691
PPIA,2,COLON,SPLEEN,"","","","",EFO_0006927,0.456044372304578,severe aplastic anemia: Severe aplastic anemia (SAA) is a disease in which the bone marrow does not make enough blood cells for the body.,ENSG00000196262
APOA1,2,COLON,LIVER,"","","","",Orphanet_31150,0.455090355096953,"Tangier disease: Tangier disease (TD) is a rare lipoprotein metabolism disorder characterized biochemically by an almost complete absence of plasma high-density lipoproteins (HDL), and clinically by liver, spleen, lymph node and tonsil enlargement along with peripheral neuropathy in children and adolescents, and, occasionally, cardiovascular disease in adults.",ENSG00000118137
LIFR,2,COLON,KIDNEY,"","","","",Orphanet_2190,0.453753437492613,Congenital hydronephrosis: Congenital hydronephrosis is a renal urinary disease characterized by distension and dilation of the renal pelvis and calyces secondary to various congenital obstructive malformations of the kidneys and urinary tract that can evolve to renal atrophy.,ENSG00000113594
SLC39A8,2,ADRNL,LUNG,"","","","",EFO_0007645,0.451921701653846,longitudinal alcohol consumption measurement: quantification of some aspect of alcohol consumption over a long period of time (typically several years),ENSG00000138821
SLC39A8,2,ADRNL,LUNG,"","","","",EFO_0004840,0.451892543641682,"cortical thickness: Is a quantification of the thickness of brain cortex, e.g. measured by MRI, used in the diagnosis of Alzheimer's disease and other neurological conditions",ENSG00000138821
SLC39A8,2,ADRNL,LUNG,"","","","",EFO_0010100,0.44650173085562,multisite chronic pain: A chronic pain phenotype that is defined as the number of sites on the body at which chronic pain is experienced.,ENSG00000138821
SLC39A8,2,ADRNL,LUNG,"","","","",EFO_0006935,0.446135156430027,"thalamus volume: quantification of the volume of the thalamus, a midline symmetrical structure of two halves, within the vertebrate brain, situated between the cerebral cortex and the midbrain",ENSG00000138821
VCAN,2,ADRNL,SPLEEN,"","","","",EFO_0004840,0.445472117148192,"cortical thickness: Is a quantification of the thickness of brain cortex, e.g. measured by MRI, used in the diagnosis of Alzheimer's disease and other neurological conditions",ENSG00000038427
PPIA,2,COLON,SPLEEN,"","","","",EFO_0003966,0.438362772084355,eye disease: An eye and adnexa disease that is located in the eye.,ENSG00000196262
ERBB3,2,KIDNEY,LUNG,"","","","",MONDO_0007573,0.436104228527948,"acute erythroleukemia, familial: An instance of acute erythroleukemia that is caused by an inherited modification of the individual's genome.",ENSG00000065361
PPIA,2,COLON,SPLEEN,"","","","",EFO_0004276,0.434256329254525,Stevens-Johnson syndrome: Stevens-Johnson syndrome is a limited form of toxic epidermal necrolysis characterized by destruction and detachment of the skin epithelium and mucous membranes involving less than 10% of the body surface area.,ENSG00000196262
PPIA,2,COLON,SPLEEN,"","","","",MONDO_0001705,0.434256329254525,"pure red-cell aplasia: A disease characterized by normocytic, normochromic anemia, low hematocrit, reticulocytopenia, and selective erythroid hypoplasia.",ENSG00000196262
PPIA,2,COLON,SPLEEN,"","","","",MONDO_0002898,0.434256329254525,skin cancer: A malignant neoplasm involving the zone of skin,ENSG00000196262
