rat_ensembl_gene,ome,tissue,node,rat_gene_symbol,human_gene_symbol,human_ensembl_gene,chr,gene_start,gene_end,male.logFC,male.phenotypic_expression_Z,male.genetic_expression_Z,female.logFC,female.phenotypic_expression_Z,female.genetic_expression_Z,num_twas_hits,twas_hits
ENSRNOG00000001235,TRNSCRPT,ADRNL,8w_F-1_M-1,Gna12,GNA12,ENSG00000146535,chr7,2728112,2844324,-0.131422236828821,-0.277368503078287,,-0.105849848883552,-0.184641441532852,,17,"Astle_et_al_2016_Granulocyte_count, Astle_et_al_2016_Monocyte_count, Astle_et_al_2016_Myeloid_white_cell_count, Astle_et_al_2016_Neutrophil_count, Astle_et_al_2016_Platelet_count, Astle_et_al_2016_Sum_basophil_neutrophil_counts, Astle_et_al_2016_Sum_neutrophil_eosinophil_counts, Astle_et_al_2016_White_blood_cell_count, EGG_BW3_EUR, EGG_Pubertal_growth_12M, GIANT_HEIGHT, GIANT_HIP_Combined_EUR, IBD.EUR.Ulcerative_Colitis, UKB_20022_Birth_weight, UKB_23099_Body_fat_percentage, UKB_50_Standing_height, UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema"
ENSRNOG00000001285,TRNSCRPT,ADRNL,8w_F-1_M-1,Atp2a2,ATP2A2,ENSG00000174437,chr12,110280756,110351090,-0.31666073891909,-0.656536488869358,,-0.352678443004062,-0.605562854958271,,5,"Astle_et_al_2016_Red_blood_cell_count, GIANT_2015_BMI_EUR, HRGene_HeartRate, UKB_21001_Body_mass_index_BMI, UKB_23099_Body_fat_percentage"
ENSRNOG00000001385,TRNSCRPT,ADRNL,8w_F1_M1,Plbd2,PLBD2,ENSG00000151176,chr12,113358566,113391625,0.123013334940476,0.256499000877609,,0.215003609069692,0.371313136287618,,1,pgc.scz2
ENSRNOG00000001415,TRNSCRPT,ADRNL,8w_F1_M1,Ap1s1,AP1S1,ENSG00000106367,chr7,101154397,101161596,0.195886323426766,0.38539655343591,,0.255046232157897,0.417341931840006,,0,""
ENSRNOG00000001436,TRNSCRPT,ADRNL,8w_F-1_M-1,Ywhag,YWHAG,ENSG00000170027,chr7,76326794,76359031,-0.181114511231862,-0.380770871387439,,-0.112084512037297,-0.194922380619113,,0,""
ENSRNOG00000001506,TRNSCRPT,ADRNL,8w_F1_M1,Tmem35a,TMEM35A,ENSG00000126950,chrX,101078720,101096364,1.12929295771298,1.93934249869587,,1.4733387811673,2.29874494060175,,0,""
ENSRNOG00000001621,TRNSCRPT,ADRNL,8w_F1_M1,C2cd2,C2CD2,ENSG00000157617,chr21,41885112,41953890,0.158064519452073,0.325130285416225,,0.199942823936978,0.342108429319673,,1,Astle_et_al_2016_Platelet_count
ENSRNOG00000001647,TRNSCRPT,ADRNL,8w_F1_M1,Ets2,ETS2,ENSG00000157557,chr21,38805307,38824955,0.389577395087214,0.788214053171084,,0.532076947565469,0.900519690625198,,1,UKB_21001_Body_mass_index_BMI
ENSRNOG00000001783,TRNSCRPT,ADRNL,8w_F-1_M-1,Tra2b,TRA2B,ENSG00000136527,chr3,185915906,185938136,-0.179633956603954,-0.378646882847877,,-0.112026562006379,-0.195287489515674,,0,""
ENSRNOG00000001813,TRNSCRPT,ADRNL,8w_F-1_M-1,Dnm1l,DNM1L,ENSG00000087470,chr12,32679200,32745650,-0.13798308492158,-0.291973790542662,,-0.124434136264773,-0.217078136670882,,0,""
ENSRNOG00000002134,TRNSCRPT,ADRNL,8w_F1_M1,Gbp6,GBP6,ENSG00000183347,chr1,89364058,89386461,0.762775394201225,1.39930390339276,,0.220639705862215,0.357709910370271,,0,""
ENSRNOG00000002210,TRNSCRPT,ADRNL,8w_F1_M1,Hsd17b11,HSD17B11,ENSG00000198189,chr4,87336610,87391386,0.10092131715146,0.206356832262175,,0.246159145213826,0.417667985387719,,2,"UKB_20002_1154_self_reported_irritable_bowel_syndrome, UKB_21001_Body_mass_index_BMI"
ENSRNOG00000002393,TRNSCRPT,ADRNL,8w_F-1_M-1,Eprs,EPRS1,ENSG00000136628,chr1,219968601,220046658,-1.64849424240771,-3.46922772757952,,-0.681481826374782,-1.18704322686081,,2,"Astle_et_al_2016_High_light_scatter_reticulocyte_count, Astle_et_al_2016_Reticulocyte_count"
ENSRNOG00000002572,TRNSCRPT,ADRNL,8w_F-1_M-1,Cacybp,CACYBP,ENSG00000116161,chr1,174999163,175011672,-0.137852161265645,-0.281835470229532,,-0.204721875331861,-0.347701969876069,,4,"UKB_1180_Morning_or_evening_person_chronotype, UKB_20127_Neuroticism_score, UKB_21001_Body_mass_index_BMI, UKB_23099_Body_fat_percentage"
ENSRNOG00000002735,TRNSCRPT,ADRNL,8w_F-1_M-1,Dhx9,DHX9,ENSG00000135829,chr1,182839369,182887751,-0.356598519404511,-0.754672445337842,,-0.119753702752972,-0.209031629307888,,0,""
ENSRNOG00000002839,TRNSCRPT,ADRNL,8w_F-1_M-1,Slc19a2,SLC19A2,ENSG00000117479,chr1,169463909,169486003,-0.268254405006525,-0.52788376839738,,-0.127993800370439,-0.211134185393883,,0,""
ENSRNOG00000003018,TRNSCRPT,ADRNL,8w_F1_M1,Olfml2b,OLFML2B,ENSG00000162745,chr1,161983192,162023854,0.411756368622548,0.753252066415731,,0.517622275485809,0.823093862057229,,0,""
ENSRNOG00000003189,TRNSCRPT,ADRNL,8w_F-1_M-1,Cited1,CITED1,ENSG00000125931,chrX,72301653,72307187,-1.91167126457818,-3.10037926260808,,-0.868945204631553,-1.31233924710191,,0,""
ENSRNOG00000003269,TRNSCRPT,ADRNL,8w_F1_M1,Atp6v0e1,ATP6V0E1,ENSG00000113732,chr5,172983757,173035445,0.0966168466295718,0.204101263371891,,0.281574807366429,0.490752304249197,,0,""
ENSRNOG00000003524,TRNSCRPT,ADRNL,8w_F-1_M-1,Lrrc59,LRRC59,ENSG00000108829,chr17,50375059,50397239,-0.197850058520175,-0.413356391867064,,-0.151851857483864,-0.26304217386831,,0,""
ENSRNOG00000003597,TRNSCRPT,ADRNL,8w_F-1_M-1,Tuba4a,TUBA4A,ENSG00000127824,chr2,219250338,219278170,-0.354480011488299,-0.651659727350859,,-0.551998727030066,-0.881462470715529,,1,GIANT_HEIGHT
ENSRNOG00000003759,TRNSCRPT,ADRNL,8w_F1_M1,Galc,GALC,ENSG00000054983,chr14,87837820,87993665,0.143473243135826,0.291236252771223,,0.246930026181097,0.420183717174153,,0,""
ENSRNOG00000003762,TRNSCRPT,ADRNL,8w_F1_M1,Smarca1,SMARCA1,ENSG00000102038,chrX,129446505,129523500,0.378087733740895,0.787734874684857,,0.514159024694622,0.888695541615553,,0,""
ENSRNOG00000003782,TRNSCRPT,ADRNL,8w_F1_M1,Acot9,ACOT9,ENSG00000123130,chrX,23702253,23766475,0.30009691350762,0.632088504373013,,0.100717977270596,0.175661610811324,,0,""
ENSRNOG00000003809,TRNSCRPT,ADRNL,8w_F1_M1,Sat1,SAT1,ENSG00000130066,chrX,23783173,23786226,0.206740549326761,0.417743807581789,,0.348254759947768,0.592791792723415,,0,""
ENSRNOG00000003840,TRNSCRPT,ADRNL,8w_F1_M1,Slit2,SLIT2,ENSG00000145147,chr4,20253260,20620561,0.309778549792714,0.607171981257074,,0.386353037310115,0.630493453008225,,0,""
ENSRNOG00000003866,TRNSCRPT,ADRNL,8w_F1_M1,Cxcr4,CXCR4,ENSG00000121966,chr2,136114349,136118165,0.77693041820454,1.33219612747419,,0.175282426882135,0.253053377417376,,6,"Astle_et_al_2016_Granulocyte_count, Astle_et_al_2016_Myeloid_white_cell_count, Astle_et_al_2016_Neutrophil_count, Astle_et_al_2016_Sum_basophil_neutrophil_counts, Astle_et_al_2016_Sum_neutrophil_eosinophil_counts, UKB_21001_Body_mass_index_BMI"
ENSRNOG00000003890,TRNSCRPT,ADRNL,8w_F1_M1,Nap1l1,NAP1L1,ENSG00000187109,chr12,76036587,76085033,0.294972340895045,0.616949685249648,,0.0488875541349817,0.0849184174331684,,0,""
ENSRNOG00000003967,TRNSCRPT,ADRNL,8w_F1_M1,Vmp1,VMP1,ENSG00000062716,chr17,59707192,59841092,0.18903501949531,0.378494082957449,,0.0952448098254344,0.161436758817074,,2,"Astle_et_al_2016_Monocyte_count, BCAC_ER_negative_BreastCancer_EUR"
ENSRNOG00000004268,TRNSCRPT,ADRNL,8w_F1_M1,Zfp386,ZNF519,ENSG00000175322,chr18,14057457,14132490,0.212552410160727,0.417150443996464,,0.0471534414182352,0.0797993568353379,,0,""
ENSRNOG00000004311,TRNSCRPT,ADRNL,8w_F1_M1,Gpr182,GPR182,ENSG00000166856,chr12,56994446,56998441,0.249036795781243,0.409337133755717,,0.426248713042857,0.646101650641096,,0,""
ENSRNOG00000004903,TRNSCRPT,ADRNL,8w_F1_M1,Ebp,EBP,ENSG00000147155,chrX,48521158,48528716,0.264058392611978,0.507271850437135,,0.42038848757179,0.675151902149551,,0,""
ENSRNOG00000004912,TRNSCRPT,ADRNL,8w_F1_M1,Itgav,ITGAV,ENSG00000138448,chr2,186590065,186680901,0.1045659766989,0.216215872804128,,0.201502258343199,0.344600613993131,,1,UKB_21001_Body_mass_index_BMI
ENSRNOG00000004932,TRNSCRPT,ADRNL,8w_F1_M1,Sel1l3,SEL1L3,ENSG00000091490,chr4,25747427,25863760,0.356243430254405,0.62296435920058,,0.56075928254288,0.830033867228254,,1,UKB_2395_2_Hair_or_balding_pattern_Pattern_2
ENSRNOG00000004939,TRNSCRPT,ADRNL,8w_F1_M1,Ttll6,TTLL6,ENSG00000170703,chr17,48762235,48817214,1.07215524713785,2.01124657577638,,0.85938028112258,1.37039773710971,,6,"Astle_et_al_2016_Monocyte_count, Astle_et_al_2016_Platelet_count, GIANT_HEIGHT, UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema, UKB_21001_Body_mass_index_BMI, UKB_50_Standing_height"
ENSRNOG00000005096,TRNSCRPT,ADRNL,8w_F-1_M-1,Bzw2,BZW2,ENSG00000136261,chr7,16646131,16706523,-0.245217815452323,-0.507432966807311,,-0.133307814260457,-0.229620101999204,,0,""
ENSRNOG00000005099,TRNSCRPT,ADRNL,8w_F1_M1,Top3a,TOP3A,ENSG00000177302,chr17,18271428,18315007,0.37856143709301,0.799034713210558,,0.229863334193771,0.400362642302078,,2,"UKB_20002_1065_self_reported_hypertension, UKB_50_Standing_height"
ENSRNOG00000005126,TRNSCRPT,ADRNL,8w_F1_M1,Slc66a3,SLC66A3,ENSG00000162976,chr2,11155198,11178874,0.385827671781579,0.796420671948179,,0.37035943234633,0.635009053366595,,2,"GIANT_HEIGHT, UKB_23099_Body_fat_percentage"
ENSRNOG00000005149,TRNSCRPT,ADRNL,8w_F-1_M-1,Sacm1l,SACM1L,ENSG00000211456,chr3,45689186,45745424,-0.310773796632272,-0.657659988272048,,-0.133001683218914,-0.232546061341439,,0,""
ENSRNOG00000005332,TRNSCRPT,ADRNL,8w_F1_M1,Csdc2,CSDC2,ENSG00000172346,chr22,41560763,41577741,0.328248872829186,0.646929745811053,,0.225739130897425,0.376981668528514,,2,"pgc.scz2, UKB_20127_Neuroticism_score"
ENSRNOG00000005357,TRNSCRPT,ADRNL,8w_F1_M1,Ctc1,CTC1,ENSG00000178971,chr17,8224821,8248044,0.228619202398744,0.480416672433108,,0.214607613628719,0.371609840687345,,4,"GIANT_HEIGHT, UKB_1160_Sleep_duration, UKB_20002_1065_self_reported_hypertension, UKB_50_Standing_height"
ENSRNOG00000005437,TRNSCRPT,ADRNL,8w_F1_M1,Rida,RIDA,ENSG00000132541,chr8,98102344,98117241,0.107471840492027,0.219524918766759,,0.258040909816027,0.436714531363389,,0,""
ENSRNOG00000005513,TRNSCRPT,ADRNL,8w_F1_M1,Srsf5,SRSF5,ENSG00000100650,chr14,69726900,69772005,0.358560206222332,0.754269640215243,,0.366385500016746,0.636229623930624,,0,""
ENSRNOG00000005515,TRNSCRPT,ADRNL,8w_F1_M1,Rhbdl3,RHBDL3,ENSG00000141314,chr17,32266176,32324564,0.200730996510652,0.366588545353903,,0.386029522147772,0.576274050409632,,0,""
ENSRNOG00000005691,TRNSCRPT,ADRNL,8w_F-1_M-1,Rnf32,RNF32,ENSG00000105982,chr7,156640674,156677130,-0.345926267145131,-0.695597675791703,,-0.367575423956892,-0.609319363853081,,0,""
ENSRNOG00000005698,TRNSCRPT,ADRNL,8w_F-1_M-1,Ndufa5,NDUFA5,ENSG00000128609,chr7,123536997,123558255,-1.63544247715421,-3.46504952429165,,-0.584261548697799,-1.0187778589453,,1,Astle_et_al_2016_Platelet_count
ENSRNOG00000005828,TRNSCRPT,ADRNL,8w_F1_M1,Skp1,SKP1,ENSG00000113558,chr5,134148935,134177038,0.0489725208616742,0.103724034756064,,0.120741451602252,0.210780001942551,,0,""
ENSRNOG00000005998,TRNSCRPT,ADRNL,8w_F1_M1,Smoc1,SMOC1,ENSG00000198732,chr14,69854131,70032366,0.365972794577885,0.590426181223731,0.590427066864996,0.671307527349502,0.994450611119059,0.994452102798332,0,""
ENSRNOG00000006001,TRNSCRPT,ADRNL,8w_F1_M1,Luc7l2,LUC7L2,ENSG00000146963,chr7,139340359,139423457,0.0673176465623726,0.142309224082463,,0.194972581754614,0.339026376186385,,0,""
ENSRNOG00000006050,TRNSCRPT,ADRNL,8w_F-1_M-1,Med19,MED19,ENSG00000156603,chr11,57703714,57712323,-0.171682285303524,-0.360251529905746,,-0.110781002901823,-0.191784561947427,,3,"GIANT_HEIGHT, UKB_20127_Neuroticism_score, UKB_23099_Body_fat_percentage"
ENSRNOG00000006082,TRNSCRPT,ADRNL,8w_F1_M1,Rmdn2,RMDN2,ENSG00000115841,chr2,37923187,38067142,0.111045378792452,0.227241189291991,,0.304287922974463,0.517554944302751,,0,""
ENSRNOG00000006331,TRNSCRPT,ADRNL,8w_F-1_M-1,Elovl5,ELOVL5,ENSG00000012660,chr6,53267398,53349179,-0.482806972577676,-0.979532789835163,,-0.201644050695059,-0.343014914017557,,3,"Astle_et_al_2016_Lymphocyte_counts, Astle_et_al_2016_Platelet_count, UKB_23099_Body_fat_percentage"
ENSRNOG00000006334,TRNSCRPT,ADRNL,8w_F1_M1,Txndc16,TXNDC16,ENSG00000087301,chr14,52430590,52552522,0.405321850646311,0.833740193587273,,0.38725011922697,0.660411228974478,,0,""
ENSRNOG00000006355,TRNSCRPT,ADRNL,8w_F1_M1,Akap8l,AKAP8L,ENSG00000011243,chr19,15380048,15419141,0.224350811201583,0.468760608935829,,0.169423848796011,0.29419411535251,,0,""
ENSRNOG00000006441,TRNSCRPT,ADRNL,8w_F1_M1,Zbtb25,ZBTB25,ENSG00000089775,chr14,64449106,64505213,0.272816180442969,0.569793584529512,,0.26981620518777,0.468140529464101,,2,"UKB_21001_Body_mass_index_BMI, UKB_23099_Body_fat_percentage"
ENSRNOG00000006444,TRNSCRPT,ADRNL,8w_F-1_M-1,Fkbp4,FKBP4,ENSG00000004478,chr12,2794953,2805423,-0.251357671918072,-0.510638851242353,,-0.26186716616088,-0.442885388481871,,1,UKB_2395_2_Hair_or_balding_pattern_Pattern_2
ENSRNOG00000006756,TRNSCRPT,ADRNL,8w_F-1_M-1,Maged1,MAGED1,ENSG00000179222,chrX,51803007,51902357,-0.3945570031426,-0.822727029456012,,-0.321283499251174,-0.556244624224568,,0,""
ENSRNOG00000006818,TRNSCRPT,ADRNL,8w_F1_M1,Arl6ip5,ARL6IP5,ENSG00000144746,chr3,69084944,69106066,0.122041817131733,0.255825822289825,,0.198193815444482,0.342310377128104,,0,""
ENSRNOG00000006855,TRNSCRPT,ADRNL,8w_F-1_M-1,Padi4,PADI4,ENSG00000159339,chr1,17308195,17364004,-2.74328148413855,-4.61780274957787,,-1.36396961577162,-2.08871456282271,,0,""
ENSRNOG00000006931,TRNSCRPT,ADRNL,8w_F1_M1,Eepd1,EEPD1,ENSG00000122547,chr7,36153149,36301543,1.06401324175733,2.07527310359896,,0.91401989680145,1.49732402123992,,0,""
ENSRNOG00000006975,TRNSCRPT,ADRNL,8w_F1_M1,Wasl,WASL,ENSG00000106299,chr7,123681935,123749067,0.0967524332328826,0.203989808780628,,0.0937003263674825,0.163283886063807,,0,""
ENSRNOG00000007029,TRNSCRPT,ADRNL,8w_F-1_M-1,Dnaja1,DNAJA1,ENSG00000086061,chr9,33025211,33039907,-0.249969373542991,-0.508548916805706,,-0.112459450006453,-0.192408464067308,,1,UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema
ENSRNOG00000007213,TRNSCRPT,ADRNL,8w_F-1_M-1,Yars1,YARS1,ENSG00000134684,chr1,32775237,32818153,-0.230389073692499,-0.480158107368787,,-0.317776660356722,-0.548906684417625,,0,""
ENSRNOG00000007271,TRNSCRPT,ADRNL,8w_F1_M1,Map3k9,MAP3K9,ENSG00000006432,chr14,70722526,70809534,0.572342221845044,1.16526611927706,,0.318783224158391,0.5439873132463,,0,""
ENSRNOG00000007307,TRNSCRPT,ADRNL,8w_F-1_M-1,Syde1,SYDE1,ENSG00000105137,chr19,15107403,15114986,-0.19419798768801,-0.399953541424311,,-0.203854605662316,-0.349682124474558,,0,""
ENSRNOG00000007332,TRNSCRPT,ADRNL,8w_F1_M1,Sstr3,SSTR3,ENSG00000278195,chr22,37204238,37212322,2.22447294918986,3.10994131288995,,0.481424074548484,0.557211374593258,,1,UKB_21001_Body_mass_index_BMI
ENSRNOG00000007400,TRNSCRPT,ADRNL,8w_F1_M1,Srebf2,SREBF2,ENSG00000198911,chr22,41866831,41907308,0.27398528296438,0.573854060084231,,0.409866959355184,0.709665274940914,,0,""
ENSRNOG00000007426,TRNSCRPT,ADRNL,8w_F-1_M-1,Tmem64,TMEM64,ENSG00000180694,chr8,90621995,90791549,-0.219682639520395,-0.452626928558001,,-0.271313871597404,-0.462227066768616,,0,""
ENSRNOG00000007564,TRNSCRPT,ADRNL,8w_F-1_M-1,Evc,EVC,ENSG00000072840,chr4,5711197,5814305,-0.204332856785262,-0.399579007564663,,-0.304271334300701,-0.487585449728051,,0,""
ENSRNOG00000007622,TRNSCRPT,ADRNL,8w_F1_M1,Arrdc1,ARRDC1,ENSG00000197070,chr9,137605654,137615331,0.228458963832523,0.47869212853151,,0.245393927473422,0.42513460661137,,0,""
ENSRNOG00000007728,TRNSCRPT,ADRNL,8w_F1_M1,Gsdmd,GSDMD,ENSG00000104518,chr8,143553207,143563062,0.509098762830415,1.03706847388751,,0.243824455554401,0.414790496743756,,0,""
ENSRNOG00000007753,TRNSCRPT,ADRNL,8w_F-1_M-1,Plaa,PLAA,ENSG00000137055,chr9,26904083,26947299,-0.175403999126485,-0.367572738005178,,-0.1627637207761,-0.282630495212113,,0,""
ENSRNOG00000007769,TRNSCRPT,ADRNL,8w_F1_M1,Marchf2,MARCHF2,ENSG00000099785,chr19,8413270,8439017,0.199188074483167,0.412124572050192,,0.152961362310303,0.264621496075905,,8,"Astle_et_al_2016_Granulocyte_count, Astle_et_al_2016_Myeloid_white_cell_count, Astle_et_al_2016_Neutrophil_count, Astle_et_al_2016_Sum_basophil_neutrophil_counts, Astle_et_al_2016_Sum_neutrophil_eosinophil_counts, Astle_et_al_2016_White_blood_cell_count, UKB_20002_1065_self_reported_hypertension, UKB_50_Standing_height"
ENSRNOG00000007849,TRNSCRPT,ADRNL,8w_F1_M1,Zmat5,ZMAT5,ENSG00000100319,chr22,29738330,29766961,0.287643051441618,0.601435940621572,,0.236082088004705,0.409298208178126,,2,"Astle_et_al_2016_Lymphocyte_counts, UKB_20022_Birth_weight"
ENSRNOG00000007887,TRNSCRPT,ADRNL,8w_F1_M1,Elk4,ELK4,ENSG00000158711,chr1,205597556,205631962,0.249109178954651,0.526312874658806,,0.0582815087017033,0.101555069603022,,1,UKB_50_Standing_height
ENSRNOG00000008063,TRNSCRPT,ADRNL,8w_F1_M1,Hibadh,HIBADH,ENSG00000106049,chr7,27525442,27662995,0.110722919820096,0.232953693409616,,0.129404163863852,0.224543452445077,,0,""
ENSRNOG00000008074,TRNSCRPT,ADRNL,8w_F1_M1,Cyp11a1,CYP11A1,ENSG00000140459,chr15,74337759,74366206,0.110811123532003,0.223647083029288,,0.391004573284924,0.659942093860562,,1,UKB_50_Standing_height
ENSRNOG00000008106,TRNSCRPT,ADRNL,8w_F-1_M-1,Shmt2,SHMT2,ENSG00000182199,chr12,57229327,57234902,-0.129717055494726,-0.27112995975928,,-0.135525803184676,-0.235583169522026,,1,Astle_et_al_2016_Platelet_count
ENSRNOG00000008226,TRNSCRPT,ADRNL,8w_F1_M1,Zbtb8os,ZBTB8OS,ENSG00000176261,chr1,32620820,32650903,0.178982936993765,0.377339441964281,,0.264687446407515,0.461302026670502,,0,""
ENSRNOG00000008274,TRNSCRPT,ADRNL,8w_F1_M1,Xpc,XPC,ENSG00000154767,chr3,14145147,14173062,0.203309786470272,0.427153753713331,,0.153668910748298,0.267428579266221,,2,"Astle_et_al_2016_Red_blood_cell_count, UKB_50_Standing_height"
