assay	feature_ID	ensembl_gene	entrez_gene	gene_symbol	human_gene_symbol	human_ensembl_gene
transcript-rna-seq	ENSRNOG00000000113	ENSRNOG00000000113	307604	Elac1	ELAC1	ENSG00000141642
transcript-rna-seq	ENSRNOG00000000121	ENSRNOG00000000121	366478	Pigv	PIGV	ENSG00000060642
transcript-rna-seq	ENSRNOG00000000122	ENSRNOG00000000122	24184	Ak2	AK2	ENSG00000004455
transcript-rna-seq	ENSRNOG00000000123	ENSRNOG00000000123	313806	Rnf19b	RNF19B	ENSG00000116514
transcript-rna-seq	ENSRNOG00000000124	ENSRNOG00000000124	103690615	LOC103690615		
transcript-rna-seq	ENSRNOG00000000127	ENSRNOG00000000127	362607	Kpna6	KPNA6	ENSG00000025800
transcript-rna-seq	ENSRNOG00000000129	ENSRNOG00000000129	500446	Phf24	PHF24	ENSG00000122733
transcript-rna-seq	ENSRNOG00000000130	ENSRNOG00000000130	313811	Dnajb5	DNAJB5	ENSG00000137094
transcript-rna-seq	ENSRNOG00000000133	ENSRNOG00000000133	307180	Txndc15	TXNDC15	ENSG00000113621
transcript-rna-seq	ENSRNOG00000000137	ENSRNOG00000000137	291359	Ly86	LY86	ENSG00000112799
transcript-rna-seq	ENSRNOG00000000138	ENSRNOG00000000138	298732	Glis1	GLIS1	ENSG00000174332
transcript-rna-seq	ENSRNOG00000000142	ENSRNOG00000000142	361282	Plxdc2	PLXDC2	ENSG00000120594
transcript-rna-seq	ENSRNOG00000000145	ENSRNOG00000000145	60664	Pik3r3	PIK3R3	ENSG00000117461
transcript-rna-seq	ENSRNOG00000000145	ENSRNOG00000000145	60664	Pik3r3	P3R3URF-PIK3R3	ENSG00000278139
transcript-rna-seq	ENSRNOG00000000150	ENSRNOG00000000150	100360412	Dnajc1	DNAJC1	ENSG00000136770
transcript-rna-seq	ENSRNOG00000000151	ENSRNOG00000000151	500564	Ldlrap1	LDLRAP1	ENSG00000157978
transcript-rna-seq	ENSRNOG00000000155	ENSRNOG00000000155	361073	Cog3	COG3	ENSG00000136152
transcript-rna-seq	ENSRNOG00000000156	ENSRNOG00000000156	65049	Megf6	MEGF6	ENSG00000162591
transcript-rna-seq	ENSRNOG00000000156	ENSRNOG00000000156	100911486	LOC100911486	MEGF6	ENSG00000162591
transcript-rna-seq	ENSRNOG00000000157	ENSRNOG00000000157	361321	Atg12	ATG12	ENSG00000145782
transcript-rna-seq	ENSRNOG00000000158	ENSRNOG00000000158	81718	Cdo1	CDO1	ENSG00000129596
transcript-rna-seq	ENSRNOG00000000161	ENSRNOG00000000161	24942	Chm	CHM	ENSG00000188419
transcript-rna-seq	ENSRNOG00000000164	ENSRNOG00000000164	24944	Lamp2	LAMP2	ENSG00000005893
transcript-rna-seq	ENSRNOG00000000165	ENSRNOG00000000165	24638	Pfkfb1	PFKFB1	ENSG00000158571
transcript-rna-seq	ENSRNOG00000000166	ENSRNOG00000000166	317628	Apex2	APEX2	ENSG00000169188
transcript-rna-seq	ENSRNOG00000000167	ENSRNOG00000000167	25748	Alas2	ALAS2	ENSG00000158578
transcript-rna-seq	ENSRNOG00000000168	ENSRNOG00000000168	81660	Gatm	GATM	ENSG00000171766
transcript-rna-seq	ENSRNOG00000000169	ENSRNOG00000000169	691729	Spata5l1	SPATA5L1	ENSG00000171763
transcript-rna-seq	ENSRNOG00000000170	ENSRNOG00000000170	64469	Slc30a4	SLC30A4	ENSG00000104154
transcript-rna-seq	ENSRNOG00000000172	ENSRNOG00000000172	691966	Sqor	SQOR	ENSG00000137767
transcript-rna-seq	ENSRNOG00000000175	ENSRNOG00000000175	362841	Mier2	MIER2	ENSG00000105556
transcript-rna-seq	ENSRNOG00000000177	ENSRNOG00000000177	246115	Plpp2	PLPP2	ENSG00000141934
transcript-rna-seq	ENSRNOG00000000184	ENSRNOG00000000184	315388	Tmprss6	TMPRSS6	ENSG00000187045
transcript-rna-seq	ENSRNOG00000000185	ENSRNOG00000000185	192172	Mpst	MPST	ENSG00000128309
transcript-rna-seq	ENSRNOG00000000186	ENSRNOG00000000186	25274	Tst	TST	ENSG00000128311
transcript-rna-seq	ENSRNOG00000000187	ENSRNOG00000000187	171081	Csf2rb	CSF2RB	ENSG00000100368
transcript-rna-seq	ENSRNOG00000000190	ENSRNOG00000000190			EP300	ENSG00000100393
transcript-rna-seq	ENSRNOG00000000195	ENSRNOG00000000195	301097	Vwa5a	VWA5A	ENSG00000110002
transcript-rna-seq	ENSRNOG00000000195	ENSRNOG00000000195	108348048	LOC108348048	VWA5A	ENSG00000110002
transcript-rna-seq	ENSRNOG00000000196	ENSRNOG00000000196	25147	Cyp19a1	CYP19A1	ENSG00000137869
transcript-rna-seq	ENSRNOG00000000199	ENSRNOG00000000199	301101	Dppa5	DPPA5	ENSG00000203909
transcript-rna-seq	ENSRNOG00000000201	ENSRNOG00000000201	24422	Gsta2		
transcript-rna-seq	ENSRNOG00000000201	ENSRNOG00000000201	494499	Gsta5		
transcript-rna-seq	ENSRNOG00000000204	ENSRNOG00000000204	363113	Syncrip	SYNCRIP	ENSG00000135316
transcript-rna-seq	ENSRNOG00000000219	ENSRNOG00000000219	301111	Ano10	ANO10	ENSG00000160746
transcript-rna-seq	ENSRNOG00000000221	ENSRNOG00000000221	316122	Abhd5	ABHD5	ENSG00000011198
transcript-rna-seq	ENSRNOG00000000230	ENSRNOG00000000230	360495	Lmf1	LMF1	ENSG00000103227
transcript-rna-seq	ENSRNOG00000000231	ENSRNOG00000000231	300317	Kctd17	KCTD17	ENSG00000100379
transcript-rna-seq	ENSRNOG00000000233	ENSRNOG00000000233	24419	Grm6	GRM6	ENSG00000113262
transcript-rna-seq	ENSRNOG00000000236	ENSRNOG00000000236	303763	Zfp207	ZNF207	ENSG00000010244
transcript-rna-seq	ENSRNOG00000000237	ENSRNOG00000000237	303764	RGD1310429	C17orf75	ENSG00000108666
transcript-rna-seq	ENSRNOG00000000239	ENSRNOG00000000239	287561	Ccl7	CCL7	ENSG00000108688
transcript-rna-seq	ENSRNOG00000000244	ENSRNOG00000000244	50998	Coil	COIL	ENSG00000121058
transcript-rna-seq	ENSRNOG00000000245	ENSRNOG00000000245	303772	Slc16a6	SLC16A6	ENSG00000108932
transcript-rna-seq	ENSRNOG00000000246	ENSRNOG00000000246	360650	Amz2	AMZ2	ENSG00000196704
transcript-rna-seq	ENSRNOG00000000247	ENSRNOG00000000247	360667	Mfsd11	MFSD11	ENSG00000092931
transcript-rna-seq	ENSRNOG00000000248	ENSRNOG00000000248	494445	Srsf2	SRSF2	ENSG00000161547
transcript-rna-seq	ENSRNOG00000000249	ENSRNOG00000000249	287918	Mettl23	METTL23	ENSG00000181038
transcript-rna-seq	ENSRNOG00000000250	ENSRNOG00000000250	360665	Jmjd6	JMJD6	ENSG00000070495
transcript-rna-seq	ENSRNOG00000000251	ENSRNOG00000000251	287920	St6galnac1	ST6GALNAC1	ENSG00000070526
transcript-rna-seq	ENSRNOG00000000252	ENSRNOG00000000252				
transcript-rna-seq	ENSRNOG00000000257	ENSRNOG00000000257	94338	Smpd3	SMPD3	ENSG00000103056
transcript-rna-seq	ENSRNOG00000000258	ENSRNOG00000000258	361402	Prmt7	PRMT7	ENSG00000132600
transcript-rna-seq	ENSRNOG00000000262	ENSRNOG00000000262	307834	Zfp821	ZNF821	ENSG00000102984
transcript-rna-seq	ENSRNOG00000000264	ENSRNOG00000000264	307973	Def8	DEF8	ENSG00000140995
transcript-rna-seq	ENSRNOG00000000274	ENSRNOG00000000274	309901	Phyhipl	PHYHIPL	ENSG00000165443
transcript-rna-seq	ENSRNOG00000000275	ENSRNOG00000000275			FAM13C	ENSG00000148541
transcript-rna-seq	ENSRNOG00000000277	ENSRNOG00000000277	309902	Tet1	TET1	ENSG00000138336
transcript-rna-seq	ENSRNOG00000000279	ENSRNOG00000000279	309912	Rtn4ip1	RTN4IP1	ENSG00000130347
transcript-rna-seq	ENSRNOG00000000281	ENSRNOG00000000281	680409	Prodh1	PRODH	ENSG00000100033
transcript-rna-seq	ENSRNOG00000000281	ENSRNOG00000000281	680409	Prodh1	AC007325.2	ENSG00000277196
transcript-rna-seq	ENSRNOG00000000282	ENSRNOG00000000282	363831	Gsc2	GSC2	ENSG00000063515
transcript-rna-seq	ENSRNOG00000000283	ENSRNOG00000000283	360741	Ess2	ESS2	ENSG00000100056
transcript-rna-seq	ENSRNOG00000000288	ENSRNOG00000000288	287949	Scarf2	SCARF2	ENSG00000244486
transcript-rna-seq	ENSRNOG00000000299	ENSRNOG00000000299	294515	Foxo3	FOXO3	ENSG00000118689
transcript-rna-seq	ENSRNOG00000000302	ENSRNOG00000000302	294518	Sesn1	SESN1	ENSG00000080546
transcript-rna-seq	ENSRNOG00000000303	ENSRNOG00000000303	294519	Cep57l1	CEP57L1	ENSG00000183137
transcript-rna-seq	ENSRNOG00000000304	ENSRNOG00000000304	83689	Cd164	CD164	ENSG00000135535
transcript-rna-seq	ENSRNOG00000000306	ENSRNOG00000000306	83537	Smpd2	SMPD2	ENSG00000135587
transcript-rna-seq	ENSRNOG00000000307	ENSRNOG00000000307	294520	Mical1	MICAL1	ENSG00000135596
transcript-rna-seq	ENSRNOG00000000308	ENSRNOG00000000308	365590	Zbtb24	ZBTB24	ENSG00000112365
transcript-rna-seq	ENSRNOG00000000312	ENSRNOG00000000312	309855	Fig4	FIG4	ENSG00000112367
transcript-rna-seq	ENSRNOG00000000314	ENSRNOG00000000314	309858	Sec63	SEC63	ENSG00000025796
transcript-rna-seq	ENSRNOG00000000316	ENSRNOG00000000316	309860	Sobp	SOBP	ENSG00000112320
transcript-rna-seq	ENSRNOG00000000320	ENSRNOG00000000320			AC084337.2	ENSG00000283977
transcript-rna-seq	ENSRNOG00000000320	ENSRNOG00000000320			TIMM10B	ENSG00000132286
transcript-rna-seq	ENSRNOG00000000321	ENSRNOG00000000321	25145	Cd24		
transcript-rna-seq	ENSRNOG00000000322	ENSRNOG00000000322	365601	Atg5	ATG5	ENSG00000057663
transcript-rna-seq	ENSRNOG00000000323	ENSRNOG00000000323	309871	Prdm1	PRDM1	ENSG00000057657
transcript-rna-seq	ENSRNOG00000000327	ENSRNOG00000000327	361866	Hace1	HACE1	ENSG00000085382
transcript-rna-seq	ENSRNOG00000000335	ENSRNOG00000000335	298485	Ermap	ERMAP	ENSG00000164010
transcript-rna-seq	ENSRNOG00000000340	ENSRNOG00000000340	302247	Rtraf	RTRAF	ENSG00000087302
transcript-rna-seq	ENSRNOG00000000341	ENSRNOG00000000341	302248	Nid2	NID2	ENSG00000087303
transcript-rna-seq	ENSRNOG00000000345	ENSRNOG00000000345				
transcript-rna-seq	ENSRNOG00000000368	ENSRNOG00000000368	54257	Grik2	GRIK2	ENSG00000164418
transcript-rna-seq	ENSRNOG00000000373	ENSRNOG00000000373			CTNNA3	ENSG00000183230
transcript-rna-seq	ENSRNOG00000000376	ENSRNOG00000000376	108349010	LOC108349010	TMEM167B	ENSG00000215717
transcript-rna-seq	ENSRNOG00000000378	ENSRNOG00000000378	361839	Ctnna3		
transcript-rna-seq	ENSRNOG00000000383	ENSRNOG00000000383	309760	Mypn	MYPN	ENSG00000138347
transcript-rna-seq	ENSRNOG00000000384	ENSRNOG00000000384	365564	Atoh7	ATOH7	ENSG00000179774
transcript-rna-seq	ENSRNOG00000000386	ENSRNOG00000000386	171564	Pbld1	PBLD	ENSG00000108187
transcript-rna-seq	ENSRNOG00000000387	ENSRNOG00000000387	361836	Slc25a16	DNA2	ENSG00000138346
transcript-rna-seq	ENSRNOG00000000390	ENSRNOG00000000390	690777	Rufy2	RUFY2	ENSG00000204130
transcript-rna-seq	ENSRNOG00000000392	ENSRNOG00000000392	294385	Supv3l1	SUPV3L1	ENSG00000156502
transcript-rna-seq	ENSRNOG00000000394	ENSRNOG00000000394	56782	Srgn	SRGN	ENSG00000122862
transcript-rna-seq	ENSRNOG00000000395	ENSRNOG00000000395	606294	Kifbp	KIFBP	ENSG00000198954
transcript-rna-seq	ENSRNOG00000000396	ENSRNOG00000000396	361848	Ddx50	DDX50	ENSG00000107625
transcript-rna-seq	ENSRNOG00000000397	ENSRNOG00000000397	361849	Ccar1	CCAR1	ENSG00000060339
transcript-rna-seq	ENSRNOG00000000398	ENSRNOG00000000398	294390	Zup1	ZUP1	ENSG00000153975
transcript-rna-seq	ENSRNOG00000000401	ENSRNOG00000000401	294394	Gprc6a	GPRC6A	ENSG00000173612
transcript-rna-seq	ENSRNOG00000000405	ENSRNOG00000000405	309772	Vgll2	VGLL2	ENSG00000170162
transcript-rna-seq	ENSRNOG00000000406	ENSRNOG00000000406	25346	Ros1	ROS1	ENSG00000047936
transcript-rna-seq	ENSRNOG00000000407	ENSRNOG00000000407	309773	Dcbld1	DCBLD1	ENSG00000164465
transcript-rna-seq	ENSRNOG00000000408	ENSRNOG00000000408	309774	Gopc	AL132671.2	ENSG00000282218
transcript-rna-seq	ENSRNOG00000000408	ENSRNOG00000000408	309774	Gopc	GOPC	ENSG00000047932
transcript-rna-seq	ENSRNOG00000000410	ENSRNOG00000000410	309775	Nepn		
transcript-rna-seq	ENSRNOG00000000411	ENSRNOG00000000411	294400	Nus1	NUS1	ENSG00000153989
transcript-rna-seq	ENSRNOG00000000412	ENSRNOG00000000412	502421	Slc35f1	SLC35F1	ENSG00000196376
transcript-rna-seq	ENSRNOG00000000413	ENSRNOG00000000413	64672	Pln	PLN	ENSG00000198523
transcript-rna-seq	ENSRNOG00000000414	ENSRNOG00000000414	100365935	Cep85l	CEP85L	ENSG00000111860
transcript-rna-seq	ENSRNOG00000000415	ENSRNOG00000000415	294408	Asf1a	ASF1A	ENSG00000111875
transcript-rna-seq	ENSRNOG00000000417	ENSRNOG00000000417	308870	Numa1	NUMA1	ENSG00000137497
transcript-rna-seq	ENSRNOG00000000418	ENSRNOG00000000418	309613	Zbtb12	ZBTB12	ENSG00000204366
transcript-rna-seq	ENSRNOG00000000419	ENSRNOG00000000419			AL645922.1	ENSG00000244255
transcript-rna-seq	ENSRNOG00000000419	ENSRNOG00000000419			CFB	ENSG00000243649
transcript-rna-seq	ENSRNOG00000000420	ENSRNOG00000000420	294258	Nelfe	NELFE	ENSG00000204356
transcript-rna-seq	ENSRNOG00000000421	ENSRNOG00000000421	294260	Skiv2l	SKIV2L	ENSG00000204351
transcript-rna-seq	ENSRNOG00000000422	ENSRNOG00000000422	361799	Dxo	DXO	ENSG00000204348
transcript-rna-seq	ENSRNOG00000000423	ENSRNOG00000000423				
transcript-rna-seq	ENSRNOG00000000428	ENSRNOG00000000428	24298	Cyp21a1	CYP21A2	ENSG00000231852
transcript-rna-seq	ENSRNOG00000000431	ENSRNOG00000000431	406169	Atf6b	ATF6B	ENSG00000213676
transcript-rna-seq	ENSRNOG00000000432	ENSRNOG00000000432	406168	Fkbpl	FKBPL	ENSG00000204315
transcript-rna-seq	ENSRNOG00000000433	ENSRNOG00000000433	406167	Prrt1	PRRT1	ENSG00000204314
transcript-rna-seq	ENSRNOG00000000435	ENSRNOG00000000435	54398	Ppt2	PPT2	ENSG00000221988
transcript-rna-seq	ENSRNOG00000000435	ENSRNOG00000000435	54398	Ppt2	PPT2-EGFL8	ENSG00000258388
transcript-rna-seq	ENSRNOG00000000436	ENSRNOG00000000436	406166	Egfl8	EGFL8	ENSG00000241404
transcript-rna-seq	ENSRNOG00000000437	ENSRNOG00000000437	406165	Agpat1	AGPAT1	ENSG00000204310
transcript-rna-seq	ENSRNOG00000000438	ENSRNOG00000000438	407784	Rnf5	RNF5	ENSG00000204308
transcript-rna-seq	ENSRNOG00000000439	ENSRNOG00000000439	81722	Ager	AGER	ENSG00000204305
transcript-rna-seq	ENSRNOG00000000440	ENSRNOG00000000440	406164	Pbx2	PBX2	ENSG00000204304
transcript-rna-seq	ENSRNOG00000000441	ENSRNOG00000000441	406163	Gpsm3	GPSM3	ENSG00000213654
transcript-rna-seq	ENSRNOG00000000442	ENSRNOG00000000442	406162	Notch4	NOTCH4	ENSG00000204301
transcript-rna-seq	ENSRNOG00000000443	ENSRNOG00000000443	103689965	LOC103689965	C4A	ENSG00000244731
transcript-rna-seq	ENSRNOG00000000443	ENSRNOG00000000443	103689965	LOC103689965	C4B	ENSG00000224389
transcript-rna-seq	ENSRNOG00000000446	ENSRNOG00000000446	100911983	LOC100911983		
transcript-rna-seq	ENSRNOG00000000451	ENSRNOG00000000451	309621	RT1-Ba		
transcript-rna-seq	ENSRNOG00000000454	ENSRNOG00000000454	365542	RT1-DOb	HLA-DOB	ENSG00000241106
transcript-rna-seq	ENSRNOG00000000455	ENSRNOG00000000455	24812	Tap2	AL669918.1	ENSG00000250264
transcript-rna-seq	ENSRNOG00000000455	ENSRNOG00000000455	24812	Tap2	TAP2	ENSG00000204267
transcript-rna-seq	ENSRNOG00000000456	ENSRNOG00000000456	24968	Psmb8	PSMB8	ENSG00000204264
transcript-rna-seq	ENSRNOG00000000457	ENSRNOG00000000457	24811	Tap1	TAP1	ENSG00000168394
transcript-rna-seq	ENSRNOG00000000459	ENSRNOG00000000459	24967	Psmb9	PSMB9	ENSG00000240065
transcript-rna-seq	ENSRNOG00000000461	ENSRNOG00000000461	294276	Brd2	BRD2	ENSG00000204256
transcript-rna-seq	ENSRNOG00000000461	ENSRNOG00000000461	108348112	LOC108348112	BRD2	ENSG00000204256
transcript-rna-seq	ENSRNOG00000000463	ENSRNOG00000000463	294279	Col11a2	COL11A2	ENSG00000204248
transcript-rna-seq	ENSRNOG00000000464	ENSRNOG00000000464	361801	Rxrb	RXRB	ENSG00000204231
transcript-rna-seq	ENSRNOG00000000465	ENSRNOG00000000465	294281	Slc39a7	SLC39A7	ENSG00000112473
transcript-rna-seq	ENSRNOG00000000466	ENSRNOG00000000466	361802	Hsd17b8	HSD17B8	ENSG00000204228
transcript-rna-seq	ENSRNOG00000000467	ENSRNOG00000000467	309626	Ring1	RING1	ENSG00000204227
transcript-rna-seq	ENSRNOG00000000470	ENSRNOG00000000470	25218	Vps52	VPS52	ENSG00000223501
transcript-rna-seq	ENSRNOG00000000471	ENSRNOG00000000471	171079	B3galt4	B3GALT4	ENSG00000235863
transcript-rna-seq	ENSRNOG00000000473	ENSRNOG00000000473	309629	Pfdn6	PFDN6	ENSG00000204220
transcript-rna-seq	ENSRNOG00000000474	ENSRNOG00000000474	294283	Rgl2	RGL2	ENSG00000237441
transcript-rna-seq	ENSRNOG00000000476	ENSRNOG00000000476	309630	Zbtb22	ZBTB22	ENSG00000236104
transcript-rna-seq	ENSRNOG00000000477	ENSRNOG00000000477	140926	Daxx	DAXX	ENSG00000204209
transcript-rna-seq	ENSRNOG00000000478	ENSRNOG00000000478	294284	AA926063		
transcript-rna-seq	ENSRNOG00000000479	ENSRNOG00000000479	294286	Kifc1	KIFC1	ENSG00000237649
transcript-rna-seq	ENSRNOG00000000480	ENSRNOG00000000480	294287	Phf1	PHF1	ENSG00000112511
transcript-rna-seq	ENSRNOG00000000481	ENSRNOG00000000481	294288	Cuta	CUTA	ENSG00000112514
transcript-rna-seq	ENSRNOG00000000483	ENSRNOG00000000483	192117	Syngap1	SYNGAP1	ENSG00000197283
transcript-rna-seq	ENSRNOG00000000485	ENSRNOG00000000485	116502	Bak1	BAK1	ENSG00000030110
transcript-rna-seq	ENSRNOG00000000486	ENSRNOG00000000486	494520	Ggnbp1		
transcript-rna-seq	ENSRNOG00000000487	ENSRNOG00000000487	24417	Grm4		
transcript-rna-seq	ENSRNOG00000000488	ENSRNOG00000000488	117062	Hmga1	HMGA1	ENSG00000137309
transcript-rna-seq	ENSRNOG00000000490	ENSRNOG00000000490	81773	Rps10	RPS10-NUDT3	ENSG00000270800
transcript-rna-seq	ENSRNOG00000000491	ENSRNOG00000000491	689210	Spdef	SPDEF	ENSG00000124664
transcript-rna-seq	ENSRNOG00000000493	ENSRNOG00000000493	361808	Snrpc	SNRPC	ENSG00000124562
transcript-rna-seq	ENSRNOG00000000495	ENSRNOG00000000495	309637	Uhrf1bp1	UHRF1BP1	ENSG00000065060
transcript-rna-seq	ENSRNOG00000000498	ENSRNOG00000000498	309639	Anks1a	ANKS1A	ENSG00000064999
transcript-rna-seq	ENSRNOG00000000499	ENSRNOG00000000499	309641	Tcp11	TCP11	ENSG00000124678
transcript-rna-seq	ENSRNOG00000000500	ENSRNOG00000000500	294297	Scube3	SCUBE3	ENSG00000146197
transcript-rna-seq	ENSRNOG00000000501	ENSRNOG00000000501	361809	Zfp523	ZNF76	ENSG00000065029
transcript-rna-seq	ENSRNOG00000000502	ENSRNOG00000000502	309642	Def6	DEF6	ENSG00000023892
transcript-rna-seq	ENSRNOG00000000503	ENSRNOG00000000503	25682	Ppard	PPARD	ENSG00000112033
transcript-rna-seq	ENSRNOG00000000504	ENSRNOG00000000504	309643	Fance	FANCE	ENSG00000112039
transcript-rna-seq	ENSRNOG00000000505	ENSRNOG00000000505	81729	Rpl10a		
transcript-rna-seq	ENSRNOG00000000505	ENSRNOG00000000505	301299	RGD1566137		
transcript-rna-seq	ENSRNOG00000000506	ENSRNOG00000000506	294299	Tead3	TEAD3	ENSG00000007866
transcript-rna-seq	ENSRNOG00000000507	ENSRNOG00000000507	309900	Tulp1	TULP1	ENSG00000112041
transcript-rna-seq	ENSRNOG00000000508	ENSRNOG00000000508	294301	Armc12	ARMC12	ENSG00000157343
transcript-rna-seq	ENSRNOG00000000510	ENSRNOG00000000510	25680	Clps	CLPS	ENSG00000137392
transcript-rna-seq	ENSRNOG00000000511	ENSRNOG00000000511	361811	Srpk1	SRPK1	ENSG00000096063
transcript-rna-seq	ENSRNOG00000000512	ENSRNOG00000000512	309646	Slc26a8	SLC26A8	ENSG00000112053
transcript-rna-seq	ENSRNOG00000000513	ENSRNOG00000000513	81649	Mapk14	MAPK14	ENSG00000112062
transcript-rna-seq	ENSRNOG00000000515	ENSRNOG00000000515	29513	Mapk13	MAPK13	ENSG00000156711
transcript-rna-seq	ENSRNOG00000000516	ENSRNOG00000000516			PXT1	ENSG00000179165
transcript-rna-seq	ENSRNOG00000000517	ENSRNOG00000000517	294307	Kctd20	KCTD20	ENSG00000112078
transcript-rna-seq	ENSRNOG00000000519	ENSRNOG00000000519	361813	Stk38	STK38	ENSG00000112079
transcript-rna-seq	ENSRNOG00000000520	ENSRNOG00000000520	361814	Srsf3	SRSF3	ENSG00000112081
