RAT_SYMBOL	NAME	RAT_GENE_RGD_ID	RAT_NCBI_GENE_ID	RAT_ENSEMBL_ID	RAT_UNIPROT_ID	RAT_OLD_SYMBOL	HUMAN_ORTHOLOG_SYMBOL	HUMAN_ORTHOLOG_RGD	HUMAN_ORTHOLOG_NCBI_GENE_ID	HUMAN_ORTHOLOG_ENSEMBL_ID	HUMAN_ORTHOLOG_SOURCE
Spata48	spermatogenesis associated 48	1309870	289778	ENSRNOG00000037621	D3ZM93;D4A9H9	LOC289778;RGD1309870	SPATA48	2902413	100130988	ENSG00000164500.7	HGNC
Zfp316	zinc finger protein 316	1311647	304293	ENSRNOG00000001094	D4A8C4	LOC304293	ZNF316	1323214	100131017	ENSG00000205903.7	HGNC
Bsph1	binder of sperm protein homolog 1	1594649	103691065	ENSRNOG00000052287	A0A0G2JTQ2;A0A0G2K8W7	LOC100912137;LOC691820	BSPH1	2306586	100131137	ENSG00000188334.3	HGNC
Tstd1	thiosulfate sulfurtransferase like domain containing 1	2323815	100359478	ENSRNOG00000047123	M0R7U2	LOC100359478	TSTD1	2859136	100131187	ENSG00000215845.11	HGNC
Nemp2	nuclear envelope integral membrane protein 2	1560421	503257	ENSRNOG00000012924	P0C8N6	LOC503257;LOC685327;RGD1560421;Tmem194b	NEMP2	2293905	100131211	ENSG00000189362.12	HGNC
Ankrd63	ankyrin repeat domain 63	1595953	691770	ENSRNOG00000042446	D3ZKY6	LOC691770	ANKRD63	5132170	100131244	ENSG00000230778.2	HGNC
RGD1563222	similar to RIKEN cDNA A930018P22	1563222	362175	ENSRNOG00000010963	D4A0Z9	LOC362175	C11orf91	2301118	100131378	ENSG00000205177.7	HGNC
Sp9	Sp9 transcription factor	1559457	366078	ENSRNOG00000028187	D3ZZ24	LOC366078;RGD1559457	SP9	2303677	100131390	ENSG00000217236.2	HGNC
Cd300ld	Cd300 molecule-like family member D	2319739	100361633	NA	NA	LOC100361539;LOC100361633	CD300LD	2290269	100131439	ENSG00000204345.1	RGD
Armcx4	armadillo repeat containing, X-linked 4	2325053	100359678	ENSRNOG00000043128	D3ZV39	LOC100359678	ARMCX4	1347581	100131755	ENSG00000196440.12	HGNC
Pet100	PET100 cytochrome c oxidase chaperone	1585222	688786	ENSRNOG00000050169	D3ZHD3	LOC688786	PET100	5135069	100131801	ENSG00000229833.10	HGNC
Ube2d4l1	ubiquitin-conjugating enzyme E2D 4 like 1	2323338	100359803	ENSRNOG00000065297	NA	LOC100359803	UBE2DNL	1603496	100131816	ENSG00000229547.5	HGNC
Zfp39	zinc finger protein 39	1306633	303173	ENSRNOG00000014712	D4A5T4	LOC303173	ZNF717	1606870	100131827	ENSG00000227124.11	HGNC
Insyn2b	inhibitory synaptic factor family member 2B	2320105	100361460	NA	NA	Fam196b;LOC100361460	INSYN2B	3497372	100131897	ENSG00000204767.4	HGNC
Foxo6	forkhead box O6	1595858	313558	ENSRNOG00000032639	D3ZV21	LOC313558	FOXO6	2292467	100132074	ENSG00000281518.7	HGNC
Foxo6	forkhead box O6	1595858	313558	ENSRNOG00000032639	D3ZV21	LOC313558	FOXO6	2292467	100132074	ENSG00000204060.8	HGNC
Fam240a	family with sequence similarity 240 member A	7555836	120094266	NA	NA	LOC102555511	FAM240A	12801639	100132146	ENSG00000283473.5	HGNC
Gkn3	gastrokine 3	1597754	685128	ENSRNOG00000037782	F1M498	Gkn3-ps1;LOC685128	GKN3P	3378226	100132413	NA	HGNC
Cldn24	claudin 24	1562043	502083	ENSRNOG00000031521	D4A2B4	LOC502083;RGD1562043	CLDN24	3378218	100132463	ENSG00000185758.9	HGNC
Shisal2b	shisa like 2B	1564672	499520	ENSRNOG00000013372	D4AB47	Fam159b;LOC499520;RGD1564672	SHISAL2B	2293813	100132916	ENSG00000145642.12	HGNC
LOC684395	hypothetical protein LOC684395	1591417	684395	ENSRNOG00000065507	NA	NA	PRR23D2	7406305	100133251	ENSG00000255378.1	HGNC
Defb41	defensin beta 41	1562459	641650	ENSRNOG00000038760	Q32ZF5	NA	DEFB130B	12879523	100133267	ENSG00000233050.1	HGNC
Cd24	CD24 molecule	2298	25145	ENSRNOG00000000321	Q07490	Cd24a;HSA;MGC93641	CD24	736340	100133941	ENSG00000272398.6	HGNC
Ten1	TEN1 subunit of CST complex	1311078	360664	ENSRNOG00000060307	A0A0G2JZI8;A0A0G2K213;A0A0G2K7H0	RGD1311078	TEN1	2801979	100134934	ENSG00000257949.7	HGNC
Upk3bl1	uroplakin 3B like 1	1598237	367994	ENSRNOG00000038896	D3ZXT5	LOC367994;Upk3bl	UPK3BL1	2801955	100134938	ENSG00000267368.1	HGNC
Jmjd7	jumonji domain containing 7	2290039	100137086	ENSRNOG00000050072	D3ZZV5	LOC100137086	JMJD7	2298734	100137047	ENSG00000243789.11	HGNC
Pla2g4b	phospholipase A2 group IVB	1308658	311341	ENSRNOG00000007447	A0A0G2JZ44;D4A1I6	LOC311341	PLA2G4B	1318557	100137049	ENSG00000243708.11	HGNC
Hdac5	histone deacetylase 5	619980	84580	ENSRNOG00000020905	F1LM64;Q5RJZ2;Q99P98	NA	HDAC5	1604649	10014	ENSG00000108840.16	HGNC
LOC688282	hypothetical protein LOC688282	1591144	688282	ENSRNOG00000045889	M0RB05	NA	C17orf99	2299182	100141515	ENSG00000187997.12	HGNC
Klln	killin, p53-regulated DNA replication inhibitor	7720631	102551694	NA	NA	LOC102551694;LOC681340	KLLN	5013846	100144748	ENSG00000227268.5	HGNC
Klln	killin, p53-regulated DNA replication inhibitor	7720631	102551694	NA	NA	LOC102551694;LOC681340	KLLN	5013846	100144748	ENSG00000283059.3	HGNC
Pdcd6ip	programmed cell death 6 interacting protein	68357	501083	ENSRNOG00000008981	A0A140TAA4;Q9QZA2	AIP1;Alix;RGD1561176	PDCD6IP	68505	10015	ENSG00000170248.15	HGNC
Pdcd6	programmed cell death 6	1311239	308061	ENSRNOG00000014485	G3V7W1	ALG-2;LOC308061	PDCD6	1322592	10016	ENSG00000249915.9	HGNC
Pate3	prostate and testis expressed 3	2320151	100361414	ENSRNOG00000046243	H6TJC4	LOC100361414	PATE3	2302531	100169851	ENSG00000236027.3	HGNC
Bcl2l10	BCL2 like 10	621015	114552	ENSRNOG00000009308	Q99M66	NA	BCL2L10	1353095	10017	ENSG00000137875.4	HGNC
Srrm5	serine/arginine repetitive matrix 5	2323012	100363433	NA	NA	LOC100363433	SRRM5	2801093	100170229	ENSG00000226763.5	HGNC
Erich4	glutamate-rich 4	1583255	685046	ENSRNOG00000037798	G3V8X7;P0C7N2	LOC685046	ERICH4	2299179	100170765	ENSG00000204978.3	HGNC
Epop	elongin BC and polycomb repressive complex 2 associated protein	1587434	691153	ENSRNOG00000048187	M0RD31	LOC691153	EPOP	2299176	100170841	ENSG00000277303.2	HGNC
Epop	elongin BC and polycomb repressive complex 2 associated protein	1587434	691153	ENSRNOG00000048187	M0RD31	LOC691153	EPOP	2299176	100170841	ENSG00000273604.2	HGNC
Bcl2l11	BCL2 like 11	628774	64547	ENSRNOG00000016551	O88498	Bim;BimL;Bod	BCL2L11	734299	10018	ENSG00000153094.24	HGNC
Mir1224	microRNA 1224	2325484	100314125	ENSRNOG00000041535	NA	rno-mir-1224	MIR1224	2312874	100187716	ENSG00000221120.1	HGNC
Tomm6	translocase of outer mitochondrial membrane 6	1583567	681123	ENSRNOG00000046316	D3ZJS3	LOC681123;Prickle4	TOMM6	2300132	100188893	ENSG00000214736.8	HGNC
Sh2b3	SH2B adaptor protein 3	68411	58838	ENSRNOG00000028198	D4ABY6;P50745	Lnk	SH2B3	68607	10019	ENSG00000111252.11	HGNC
RGD1308775	similar to RIKEN cDNA 4921536K21	1308775	305476	ENSRNOG00000004112	D3ZFB8	LOC305476	C5orf52	2303474	100190949	ENSG00000187658.7	HGNC
C2cd4d	C2 calcium-dependent domain containing 4D	2324777	100363111	ENSRNOG00000020832	D4A4I1	LOC100363111	C2CD4D	3563711	100191040	ENSG00000225556.1	HGNC
Cdh4	cadherin 4	621091	114588	ENSRNOG00000052405	A0A0G2JZD0;A0A0G2K728;Q63149	Cdh4l;LOC102554066;R-CAD	CDH4	1343938	1002	ENSG00000179242.16	HGNC
Cdh4	cadherin 4	621091	114588	ENSRNOG00000052405	A0A0G2JZD0;A0A0G2K728;Q63149	Cdh4l;LOC102554066;R-CAD	CDH4	1343938	1002	ENSG00000280641.2	HGNC
Gne	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase	69239	114711	ENSRNOG00000014365	A0A0G2K7T2;O35826	Uae1	GNE	732554	10020	ENSG00000159921.20	HGNC
Hcn4	hyperpolarization activated cyclic nucleotide-gated potassium channel 4	71065	59266	ENSRNOG00000009450	A0A0H2UHH6;Q9JKA7	NA	HCN4	737126	10021	ENSG00000138622.4	HGNC
Insl5	insulin like 5	7747960	102554482	NA	NA	LOC102554482	INSL5	1350939	10022	ENSG00000172410.5	HGNC
Frat1	FRAT regulator of WNT signaling pathway 1	9147096	103691373	NA	NA	LOC100911460	FRAT1	1604648	10023	ENSG00000165879.9	RGD
Troap	trophinin associated protein	1306870	300219	ENSRNOG00000060703	D3ZLZ9	LOC300219	TROAP	1315734	10024	ENSG00000135451.13	RGD
Med16	mediator complex subunit 16	1308001	299607	ENSRNOG00000011315	A0A0G2K2K5;A0A1W2Q603;D3ZHA9	LOC299607;Thrap5	MED16	1317518	10025	ENSG00000175221.16	HGNC
Med16	mediator complex subunit 16	1308001	299607	ENSRNOG00000011315	A0A0G2K2K5;A0A1W2Q603;D3ZHA9	LOC299607;Thrap5	MED16	1317518	10025	ENSG00000282092.1	HGNC
Pigk	phosphatidylinositol glycan anchor biosynthesis, class K	1306753	295543	ENSRNOG00000042359	Q5XIP2	LOC295543	PIGK	1315550	10026	ENSG00000142892.15	HGNC
Arhgef33	Rho guanine nucleotide exchange factor 33	1560224	500608	ENSRNOG00000007061	D3Z8W6	LOC500608;RGD1560224	ARHGEF33	3516342	100271715	ENSG00000214694.12	HGNC
Ervv-2	endogenous retrovirus group V member 2, envelope	9302596	103691893	ENSRNOG00000045581	D3ZVK6	LOC103691893	ERVV-2	5132012	100271846	ENSG00000268964.3	HGNC
Mef2b	myocyte enhancer factor 2B	1561733	498607	ENSRNOG00000020400	Q6AXR7	LOC498607	MEF2B	1351770	100271849	ENSG00000213999.17	HGNC
Rasa4	RAS p21 protein activator 4	1565457	288589	ENSRNOG00000001431	D3ZQH9;D4A166	LOC288589;RGD1565457	RASA4B	2306251	100271927	ENSG00000170667.15	HGNC
Cmc4	C-X9-C motif containing 4	7647017	102546764	ENSRNOG00000056435	A0A0G2K2W2	LOC102546764	CMC4	2308876	100272147	ENSG00000182712.16	HGNC
Washc1	WASH complex subunit 1	1310196	367328	ENSRNOG00000053306	A0A0G2K6R7;B2RYF7	LOC102553152;LOC367328;LOC689385;ORF19;Wash;Wash1;Wash2	WASHC1	1626557	100287171	ENSG00000181404.17	RGD
LOC102551340	zinc finger protein 728-like	7697243	102551340	ENSRNOG00000047145	A0A0G2JZD8;M0R9V7	LOC100361619	ZNF729	5133819	100287226	ENSG00000196350.9	HGNC
LOC102551340	zinc finger protein 728-like	7697243	102551340	ENSRNOG00000047145	A0A0G2JZD8;M0R9V7	LOC100361619	ZNF729	5133819	100287226	ENSG00000279552.1	HGNC
Mansc4	MANSC domain containing 4	1585055	691362	ENSRNOG00000036925	D4ADQ5	LOC691362	MANSC4	5132067	100287284	ENSG00000205693.4	HGNC
Prss46	protease, serine, 46	1302970	408245	ENSRNOG00000020981	Q6IE63	Tessp6	PRSS46P	3184187	100287362	ENSG00000261603.3	HGNC
LOC691828	uncharacterized LOC691828	7592549	691828	NA	NA	NA	IGHV3OR16-13	1347647	100287372	NA	HGNC
Smkr1	small lysine-rich protein 1	9298384	103692109	NA	NA	NA	SMKR1	7204969	100287482	ENSG00000240204.3	HGNC
Ankrd66	ankyrin repeat domain 66	1560151	501105	ENSRNOG00000046426	M0RDE5	LOC501105;RGD1560151	ANKRD66	7204990	100287718	ENSG00000230062.7	HGNC
Ttc34	tetratricopeptide repeat domain 34	1304840	366517	ENSRNOG00000024526	D3ZC99	LOC102550274;LOC366517;RGD1304840	TTC34	2293894	100287898	ENSG00000215912.12	HGNC
