assay	feature_ID	ensembl_gene	entrez_gene	gene_symbol	human_gene_symbol	human_ensembl_gene	human_entrez_gene	mouse_gene_symbol	mouse_entrez_gene	ortholog_source
transcript-rna-seq	ENSRNOG00000000157	ENSRNOG00000000157	361321	Atg12	ATG12	NA	9140	Atg12	67526	RGD
transcript-rna-seq	ENSRNOG00000000158	ENSRNOG00000000158	81718	Cdo1	CDO1	NA	1036	Cdo1	12583	RGD
transcript-rna-seq	ENSRNOG00000000161	ENSRNOG00000000161	24942	Chm	CHM	NA	1121	Chm	12662	RGD
transcript-rna-seq	ENSRNOG00000000164	ENSRNOG00000000164	24944	Lamp2	LAMP2	NA	3920	Lamp2	16784	RGD
transcript-rna-seq	ENSRNOG00000000165	ENSRNOG00000000165	24638	Pfkfb1	PFKFB1	NA	5207	Pfkfb1	18639	RGD
transcript-rna-seq	ENSRNOG00000000166	ENSRNOG00000000166	317628	Apex2	APEX2	NA	27301	Apex2	77622	RGD
transcript-rna-seq	ENSRNOG00000000167	ENSRNOG00000000167	25748	Alas2	ALAS2	NA	212	Alas2	11656	RGD
transcript-rna-seq	ENSRNOG00000000168	ENSRNOG00000000168	81660	Gatm	GATM	NA	2628	Gatm	67092	RGD
transcript-rna-seq	ENSRNOG00000000169	ENSRNOG00000000169	691729	Spata5l1	SPATA5L1	NA	79029	Spata5l1	214616	RGD
transcript-rna-seq	ENSRNOG00000000170	ENSRNOG00000000170	64469	Slc30a4	SLC30A4	NA	7782	Slc30a4	22785	RGD
transcript-rna-seq	ENSRNOG00000000172	ENSRNOG00000000172	691966	Sqor	SQOR	NA	58472	Sqor	59010	RGD
transcript-rna-seq	ENSRNOG00000000175	ENSRNOG00000000175	362841	Mier2	MIER2	NA	54531	Mier2	70427	RGD
transcript-rna-seq	ENSRNOG00000000177	ENSRNOG00000000177	246115	Plpp2	PLPP2	NA	8612	Plpp2	50784	RGD
transcript-rna-seq	ENSRNOG00000000184	ENSRNOG00000000184	315388	Tmprss6	TMPRSS6	NA	164656	Tmprss6	71753	RGD
transcript-rna-seq	ENSRNOG00000000185	ENSRNOG00000000185	192172	Mpst	MPST	NA	4357	Mpst	246221	RGD
transcript-rna-seq	ENSRNOG00000000186	ENSRNOG00000000186	25274	Tst	TST	NA	7263	Tst	22117	RGD
transcript-rna-seq	ENSRNOG00000000187	ENSRNOG00000000187	171081	Csf2rb	CSF2RB	NA	1439	Csf2rb2	12984	RGD
transcript-rna-seq	ENSRNOG00000000190	ENSRNOG00000000190	NA	NA	EP300	ENSG00000100393	2033	NA	NA	ensembl
transcript-rna-seq	ENSRNOG00000000195	ENSRNOG00000000195	108348048	Vwa5a	VWA5A	ENSG00000110002	4013	NA	NA	ensembl
transcript-rna-seq	ENSRNOG00000000195	ENSRNOG00000000195	301097	Vwa5a	VWA5A	ENSG00000110002	4013	Vwa5a	67776	RGD
transcript-rna-seq	ENSRNOG00000000195	ENSRNOG00000000195	108348048	LOC108348048	VWA5A	ENSG00000110002	4013	NA	NA	ensembl
transcript-rna-seq	ENSRNOG00000000195	ENSRNOG00000000195	301097	LOC108348048	VWA5A	ENSG00000110002	4013	Vwa5a	67776	RGD
transcript-rna-seq	ENSRNOG00000000196	ENSRNOG00000000196	25147	Cyp19a1	CYP19A1	NA	1588	Cyp19a1	13075	RGD
transcript-rna-seq	ENSRNOG00000000199	ENSRNOG00000000199	301101	Dppa5	DPPA5	ENSG00000203909	340168	Dppa5a	434423	RGD
transcript-rna-seq	ENSRNOG00000000201	ENSRNOG00000000201	24422	Gsta2	GSTA2	NA	2939	Gsta2	14858	RGD
transcript-rna-seq	ENSRNOG00000000201	ENSRNOG00000000201	494499	Gsta2	GSTA5	ENSG00000182793	221357	Gsta1	14857	RGD
transcript-rna-seq	ENSRNOG00000000201	ENSRNOG00000000201	24422	Gsta5	GSTA2	NA	2939	Gsta2	14858	RGD
transcript-rna-seq	ENSRNOG00000000201	ENSRNOG00000000201	494499	Gsta5	GSTA5	ENSG00000182793	221357	Gsta1	14857	RGD
transcript-rna-seq	ENSRNOG00000000204	ENSRNOG00000000204	363113	Syncrip	SYNCRIP	NA	10492	Syncrip	56403	RGD
transcript-rna-seq	ENSRNOG00000000219	ENSRNOG00000000219	301111	Ano10	ANO10	NA	55129	Ano10	102566	RGD
transcript-rna-seq	ENSRNOG00000000221	ENSRNOG00000000221	316122	Abhd5	ABHD5	NA	51099	Abhd5	67469	RGD
transcript-rna-seq	ENSRNOG00000000230	ENSRNOG00000000230	360495	Lmf1	LMF1	NA	64788	Lmf1	76483	RGD
transcript-rna-seq	ENSRNOG00000000231	ENSRNOG00000000231	300317	Kctd17	KCTD17	NA	79734	Kctd17	72844	RGD
transcript-rna-seq	ENSRNOG00000000233	ENSRNOG00000000233	24419	Grm6	GRM6	NA	2916	Grm6	108072	RGD
transcript-rna-seq	ENSRNOG00000000236	ENSRNOG00000000236	303763	Zfp207	ZNF207	NA	7756	Zfp207	22680	RGD
transcript-rna-seq	ENSRNOG00000000237	ENSRNOG00000000237	303764	RGD1310429	C17orf75	NA	64149	5730455P16Rik	70591	RGD
transcript-rna-seq	ENSRNOG00000000239	ENSRNOG00000000239	287561	Ccl7	CCL7	NA	6354	Ccl7	20306	RGD
transcript-rna-seq	ENSRNOG00000000244	ENSRNOG00000000244	50998	Coil	COIL	NA	8161	Coil	12812	RGD
transcript-rna-seq	ENSRNOG00000000245	ENSRNOG00000000245	303772	Slc16a6	SLC16A6	NA	9120	Slc16a6	104681	RGD
transcript-rna-seq	ENSRNOG00000000246	ENSRNOG00000000246	360650	Amz2	AMZ2	NA	51321	Amz2	13929	RGD
transcript-rna-seq	ENSRNOG00000000247	ENSRNOG00000000247	360667	Mfsd11	MFSD11	NA	79157	Mfsd11	69900	RGD
transcript-rna-seq	ENSRNOG00000000248	ENSRNOG00000000248	494445	Srsf2	SRSF2	NA	6427	Srsf2	20382	RGD
transcript-rna-seq	ENSRNOG00000000249	ENSRNOG00000000249	287918	Mettl23	METTL23	NA	124512	Mettl23	74319	RGD
transcript-rna-seq	ENSRNOG00000000250	ENSRNOG00000000250	360665	Jmjd6	JMJD6	NA	23210	Jmjd6	107817	RGD
transcript-rna-seq	ENSRNOG00000000251	ENSRNOG00000000251	287920	St6galnac1	ST6GALNAC1	NA	55808	St6galnac1	20445	RGD
transcript-rna-seq	ENSRNOG00000000252	ENSRNOG00000000252	NA	NA	NA	NA	NA	NA	NA	NA
transcript-rna-seq	ENSRNOG00000000257	ENSRNOG00000000257	94338	Smpd3	SMPD3	NA	55512	Smpd3	58994	RGD
transcript-rna-seq	ENSRNOG00000000258	ENSRNOG00000000258	361402	Prmt7	PRMT7	NA	54496	Prmt7	214572	RGD
transcript-rna-seq	ENSRNOG00000000262	ENSRNOG00000000262	307834	Zfp821	ZNF821	NA	55565	Zfp821	75871	RGD
transcript-rna-seq	ENSRNOG00000000264	ENSRNOG00000000264	307973	Def8	DEF8	NA	54849	Def8	23854	RGD
transcript-rna-seq	ENSRNOG00000000274	ENSRNOG00000000274	309901	Phyhipl	PHYHIPL	NA	84457	D630013N20Rik	319646	RGD
transcript-rna-seq	ENSRNOG00000000275	ENSRNOG00000000275	NA	NA	FAM13C	ENSG00000148541	220965	NA	NA	ensembl
transcript-rna-seq	ENSRNOG00000000277	ENSRNOG00000000277	309902	Tet1	TET1	NA	80312	Tet1	52463	RGD
transcript-rna-seq	ENSRNOG00000000279	ENSRNOG00000000279	309912	Rtn4ip1	RTN4IP1	NA	84816	Rtn4ip1	170728	RGD
transcript-rna-seq	ENSRNOG00000000281	ENSRNOG00000000281	680409	Prodh1	PRODH	NA	5625	Prodh	19125	RGD
transcript-rna-seq	ENSRNOG00000000282	ENSRNOG00000000282	363831	Gsc2	GSC2	NA	2928	Gsc2	195333	RGD
transcript-rna-seq	ENSRNOG00000000283	ENSRNOG00000000283	360741	Ess2	ESS2	NA	8220	Ess2	27886	RGD
transcript-rna-seq	ENSRNOG00000000288	ENSRNOG00000000288	287949	Scarf2	SCARF2	NA	91179	Scarf2	224024	RGD
transcript-rna-seq	ENSRNOG00000000299	ENSRNOG00000000299	294515	Foxo3	FOXO3	NA	2309	Foxo3	56484	RGD
transcript-rna-seq	ENSRNOG00000000302	ENSRNOG00000000302	294518	Sesn1	SESN1	NA	27244	Sesn1	140742	RGD
transcript-rna-seq	ENSRNOG00000000303	ENSRNOG00000000303	294519	Cep57l1	CEP57L1	NA	285753	Cep57l1	103268	RGD
transcript-rna-seq	ENSRNOG00000000304	ENSRNOG00000000304	83689	Cd164	CD164	NA	8763	Cd164	53599	RGD
transcript-rna-seq	ENSRNOG00000000306	ENSRNOG00000000306	83537	Smpd2	SMPD2	NA	6610	Smpd2	20598	RGD
transcript-rna-seq	ENSRNOG00000000307	ENSRNOG00000000307	294520	Mical1	MICAL1	NA	64780	Mical1	171580	RGD
transcript-rna-seq	ENSRNOG00000000308	ENSRNOG00000000308	365590	Zbtb24	ZBTB24	NA	9841	Zbtb24	268294	RGD
transcript-rna-seq	ENSRNOG00000000312	ENSRNOG00000000312	309855	Fig4	FIG4	NA	9896	Fig4	103199	RGD
transcript-rna-seq	ENSRNOG00000000314	ENSRNOG00000000314	309858	Sec63	SEC63	NA	11231	Sec63	140740	RGD
transcript-rna-seq	ENSRNOG00000000316	ENSRNOG00000000316	309860	Sobp	SOBP	NA	55084	Sobp	109205	RGD
transcript-rna-seq	ENSRNOG00000000320	ENSRNOG00000000320	NA	NA	TIMM10B	ENSG00000132286	26515	NA	NA	ensembl
transcript-rna-seq	ENSRNOG00000000320	ENSRNOG00000000320	NA	NA	AC084337.2	ENSG00000283977	NA	NA	NA	ensembl
transcript-rna-seq	ENSRNOG00000000321	ENSRNOG00000000321	25145	Cd24	CD24	NA	100133941	Cd24a	12484	RGD
transcript-rna-seq	ENSRNOG00000000322	ENSRNOG00000000322	365601	Atg5	ATG5	NA	9474	Atg5	11793	RGD
transcript-rna-seq	ENSRNOG00000000323	ENSRNOG00000000323	309871	Prdm1	PRDM1	NA	639	Prdm1	12142	RGD
transcript-rna-seq	ENSRNOG00000000327	ENSRNOG00000000327	361866	Hace1	HACE1	NA	57531	Hace1	209462	RGD
transcript-rna-seq	ENSRNOG00000000335	ENSRNOG00000000335	298485	Ermap	ERMAP	NA	114625	Ermap	27028	RGD
transcript-rna-seq	ENSRNOG00000000340	ENSRNOG00000000340	302247	Rtraf	RTRAF	ENSG00000087302	51637	Rtraf	68045	RGD
transcript-rna-seq	ENSRNOG00000000341	ENSRNOG00000000341	302248	Nid2	NID2	NA	22795	Nid2	18074	RGD
transcript-rna-seq	ENSRNOG00000000345	ENSRNOG00000000345	NA	NA	NA	NA	NA	NA	NA	NA
transcript-rna-seq	ENSRNOG00000000368	ENSRNOG00000000368	54257	Grik2	GRIK2	NA	2898	Grik2	14806	RGD
transcript-rna-seq	ENSRNOG00000000373	ENSRNOG00000000373	NA	NA	CTNNA3	ENSG00000183230	29119	NA	NA	ensembl
transcript-rna-seq	ENSRNOG00000000376	ENSRNOG00000000376	108349010	LOC108349010	TMEM167B	ENSG00000215717	56900	NA	NA	ensembl
transcript-rna-seq	ENSRNOG00000000378	ENSRNOG00000000378	361839	Ctnna3	CTNNA3	ENSG00000183230	29119	Ctnna3	216033	RGD
transcript-rna-seq	ENSRNOG00000000383	ENSRNOG00000000383	309760	Mypn	MYPN	NA	84665	Mypn	68802	RGD
transcript-rna-seq	ENSRNOG00000000384	ENSRNOG00000000384	365564	Atoh7	ATOH7	NA	220202	Atoh7	53404	RGD
transcript-rna-seq	ENSRNOG00000000386	ENSRNOG00000000386	171564	Pbld1	PBLD	NA	64081	Pbld1	68371	RGD
transcript-rna-seq	ENSRNOG00000000387	ENSRNOG00000000387	361836	Slc25a16	SLC25A16	NA	8034	Slc25a16	73132	RGD
transcript-rna-seq	ENSRNOG00000000390	ENSRNOG00000000390	690777	Rufy2	RUFY2	ENSG00000204130	55680	Rufy2	70432	RGD
transcript-rna-seq	ENSRNOG00000000392	ENSRNOG00000000392	294385	Supv3l1	SUPV3L1	NA	6832	Supv3l1	338359	RGD
transcript-rna-seq	ENSRNOG00000000394	ENSRNOG00000000394	56782	Srgn	SRGN	NA	5552	Srgn	19073	RGD
transcript-rna-seq	ENSRNOG00000000395	ENSRNOG00000000395	606294	Kifbp	KIFBP	NA	26128	Kifbp	72320	RGD
transcript-rna-seq	ENSRNOG00000000396	ENSRNOG00000000396	361848	Ddx50	DDX50	NA	79009	Ddx50	94213	RGD
transcript-rna-seq	ENSRNOG00000000397	ENSRNOG00000000397	361849	Ccar1	CCAR1	NA	55749	Ccar1	67500	RGD
transcript-rna-seq	ENSRNOG00000000398	ENSRNOG00000000398	294390	Zup1	ZUP1	NA	221302	Zup1	72580	RGD
transcript-rna-seq	ENSRNOG00000000401	ENSRNOG00000000401	294394	Gprc6a	GPRC6A	NA	222545	Gprc6a	210198	RGD
transcript-rna-seq	ENSRNOG00000000405	ENSRNOG00000000405	309772	Vgll2	VGLL2	NA	245806	Vgll2	215031	RGD
transcript-rna-seq	ENSRNOG00000000406	ENSRNOG00000000406	25346	Ros1	ROS1	NA	6098	Ros1	19886	RGD
transcript-rna-seq	ENSRNOG00000000407	ENSRNOG00000000407	309773	Dcbld1	DCBLD1	NA	285761	Dcbld1	66686	RGD
transcript-rna-seq	ENSRNOG00000000408	ENSRNOG00000000408	309774	Gopc	GOPC	ENSG00000047932	57120	Gopc	94221	RGD
transcript-rna-seq	ENSRNOG00000000410	ENSRNOG00000000410	NA	Nepn	NA	NA	NA	NA	NA	NA
transcript-rna-seq	ENSRNOG00000000411	ENSRNOG00000000411	294400	Nus1	NUS1	NA	116150	Nus1	52014	RGD
transcript-rna-seq	ENSRNOG00000000412	ENSRNOG00000000412	502421	Slc35f1	SLC35F1	NA	222553	Slc35f1	215085	RGD
transcript-rna-seq	ENSRNOG00000000413	ENSRNOG00000000413	64672	Pln	PLN	NA	5350	Pln	18821	RGD
transcript-rna-seq	ENSRNOG00000000414	ENSRNOG00000000414	100365935	Cep85l	CEP85L	NA	387119	Cep85l	100038725	RGD
transcript-rna-seq	ENSRNOG00000000415	ENSRNOG00000000415	294408	Asf1a	ASF1A	NA	25842	Asf1a	66403	RGD
transcript-rna-seq	ENSRNOG00000000417	ENSRNOG00000000417	308870	Numa1	NUMA1	NA	4926	Numa1	101706	RGD
transcript-rna-seq	ENSRNOG00000000418	ENSRNOG00000000418	309613	Zbtb12	ZBTB12	NA	221527	Zbtb12	193736	RGD
transcript-rna-seq	ENSRNOG00000000419	ENSRNOG00000000419	NA	NA	CFB	ENSG00000243649	629	NA	NA	ensembl
transcript-rna-seq	ENSRNOG00000000419	ENSRNOG00000000419	NA	NA	AL645922.1	ENSG00000244255	NA	NA	NA	ensembl
transcript-rna-seq	ENSRNOG00000000420	ENSRNOG00000000420	294258	Nelfe	NELFE	NA	7936	Nelfe	27632	RGD
transcript-rna-seq	ENSRNOG00000000421	ENSRNOG00000000421	294260	Skiv2l	SKIV2L	NA	6499	Skiv2l	108077	RGD
transcript-rna-seq	ENSRNOG00000000422	ENSRNOG00000000422	361799	Dxo	DXO	NA	1797	Dxo	112403	RGD
transcript-rna-seq	ENSRNOG00000000423	ENSRNOG00000000423	NA	NA	NA	NA	NA	NA	NA	NA
transcript-rna-seq	ENSRNOG00000000428	ENSRNOG00000000428	24298	Cyp21a1	CYP21A1P	NA	1590	Cyp21a1	13079	RGD
transcript-rna-seq	ENSRNOG00000000431	ENSRNOG00000000431	406169	Atf6b	ATF6B	NA	1388	Atf6b	12915	RGD
transcript-rna-seq	ENSRNOG00000000432	ENSRNOG00000000432	406168	Fkbpl	FKBPL	NA	63943	Fkbpl	56299	RGD
transcript-rna-seq	ENSRNOG00000000433	ENSRNOG00000000433	406167	Prrt1	PRRT1	NA	80863	Prrt1	260297	RGD
transcript-rna-seq	ENSRNOG00000000435	ENSRNOG00000000435	54398	Ppt2	PPT2	NA	9374	Ppt2	54397	RGD
transcript-rna-seq	ENSRNOG00000000436	ENSRNOG00000000436	406166	Egfl8	EGFL8	NA	80864	Egfl8	81701	RGD
transcript-rna-seq	ENSRNOG00000000437	ENSRNOG00000000437	406165	Agpat1	AGPAT1	NA	10554	Agpat1	55979	RGD
transcript-rna-seq	ENSRNOG00000000438	ENSRNOG00000000438	407784	Rnf5	RNF5	NA	6048	Rnf5	54197	RGD
transcript-rna-seq	ENSRNOG00000000439	ENSRNOG00000000439	81722	Ager	AGER	NA	177	Ager	11596	RGD
transcript-rna-seq	ENSRNOG00000000440	ENSRNOG00000000440	406164	Pbx2	PBX2	NA	5089	Pbx2	18515	RGD
transcript-rna-seq	ENSRNOG00000000441	ENSRNOG00000000441	406163	Gpsm3	GPSM3	NA	63940	Gpsm3	106512	RGD
transcript-rna-seq	ENSRNOG00000000442	ENSRNOG00000000442	406162	Notch4	NOTCH4	NA	4855	Notch4	18132	RGD
transcript-rna-seq	ENSRNOG00000000443	ENSRNOG00000000443	103689965	LOC103689965	C4B	ENSG00000224389	721	NA	NA	ensembl
transcript-rna-seq	ENSRNOG00000000443	ENSRNOG00000000443	103689965	LOC103689965	C4A	ENSG00000244731	110384692	NA	NA	ensembl
transcript-rna-seq	ENSRNOG00000000443	ENSRNOG00000000443	103689965	LOC103689965	C4A	ENSG00000244731	720	NA	NA	ensembl
transcript-rna-seq	ENSRNOG00000000446	ENSRNOG00000000446	NA	LOC100911983	NA	NA	NA	NA	NA	NA
transcript-rna-seq	ENSRNOG00000000451	ENSRNOG00000000451	309621	RT1-Ba	HLA-DQA1	NA	3117	H2-Aa	14960	RGD
transcript-rna-seq	ENSRNOG00000000454	ENSRNOG00000000454	365542	RT1-DOb	HLA-DOB	NA	3112	H2-Ob	15002	RGD
transcript-rna-seq	ENSRNOG00000000455	ENSRNOG00000000455	24812	Tap2	TAP2	ENSG00000204267	6891	Tap2	21355	RGD
transcript-rna-seq	ENSRNOG00000000456	ENSRNOG00000000456	24968	Psmb8	PSMB8	NA	5696	Psmb8	16913	RGD
transcript-rna-seq	ENSRNOG00000000457	ENSRNOG00000000457	24811	Tap1	TAP1	NA	6890	Tap1	21354	RGD
transcript-rna-seq	ENSRNOG00000000459	ENSRNOG00000000459	24967	Psmb9	PSMB9	NA	5698	Psmb9	16912	RGD
transcript-rna-seq	ENSRNOG00000000461	ENSRNOG00000000461	108348112	Brd2	BRD2	ENSG00000204256	6046	NA	NA	ensembl
transcript-rna-seq	ENSRNOG00000000461	ENSRNOG00000000461	294276	Brd2	BRD2	ENSG00000204256	6046	NA	NA	RGD
transcript-rna-seq	ENSRNOG00000000461	ENSRNOG00000000461	108348112	LOC108348112	BRD2	ENSG00000204256	6046	NA	NA	ensembl
