gene,n_tissue,tissue_1,tissue_2,tissue_3,tissue_4,tissue_5,tissue_6,indirect_association.diseaseId,indirect_association.score,direct_association.diseaseId,direct_association.score,indirect_association.disease,direct_association.disease,ensembl_ID
TPM1,4,BLOOD,SKM-GN,SKM-VL,SPLEEN,"","",OTAR_0000010,0.861180062993219,EFO_0000538,0.783985622065263,respiratory or thoracic disease: A disease affecting the respiratory system or other thoracic organs.,"hypertrophic cardiomyopathy: A form of CARDIAC MUSCLE disease, characterized by left and/or right ventricular hypertrophy (HYPERTROPHY, LEFT VENTRICULAR; HYPERTROPHY, RIGHT VENTRICULAR), frequent asymmetrical involvement of the HEART SEPTUM, and normal or reduced left ventricular volume. Risk factors include HYPERTENSION; AORTIC STENOSIS; and gene MUTATION; (FAMILIAL HYPERTROPHIC CARDIOMYOPATHY).",ENSG00000140416
NDUFB11,4,BAT,BLOOD,SKM-GN,SKM-VL,"","",EFO_0000508,0.859619058931659,Orphanet_2556,0.773403322294537,"genetic disorder: Genetic diseases are diseases in which inherited genes predispose to increased risk. The genetic disorders associated with cancer often result from an alteration or mutation in a single gene. The diseases range from rare dominant cancer family syndrome to familial tendencies in which low-penetrance genes may interact with other genes or environmental factors to induce cancer. Research may involve clinical, epidemiologic, and laboratory studies of persons, families, and populations at high risk of these disorders.","Microphthalmia with linear skin defects syndrome: A genetic condition that affects the eyes and skin. It is mainly found in females and is characterized by small or poorly developed eyes (microphthalmia) and characteristic linear skin markings on the head and neck. The signs and symptoms of this condition may include abnormalities of the brain, heart, and genitourinary system. Other symptoms may include short stature, developmental delay, and finger and toenails that do not grow normally (nail dystrophy). MLS syndrome is typically caused by either a deletion of certain genetic material on the p (short) arm of the X chromosome or by a mutation in the HCCS gene. In some cases, it may be caused by mutations in the COX7B and NDUFB11 genes, (also located on the X chromosome). According to the mutated gene, the disease may be classified in three subtypes. This condition is inherited in an X-linked manner and is thought to result in serious early developmental concerns in males, leading to almost no males with this condition surviving to delivery.Although there is no specific treatment or cure for MLS syndrome, there may be ways to manage the symptoms. A team of doctors is often needed to figure out the treatment options based on each person's symptoms.",ENSG00000147123
PIK3CD,4,LUNG,SKM-GN,SKM-VL,SPLEEN,"","",OTAR_0000018,0.852706162989133,Orphanet_397596,0.687273978210084,"genetic, familial or congenital disease: A disease caused by genetic modifications inherited from parents genome, occurring in or affecting members of a family more than expected by chance or existing at, and usually before, birth.",Activated PIK3-delta syndrome: NA,ENSG00000171608
H3-3A,4,BAT,BLOOD,HEART,SPLEEN,"","",EFO_0000616,0.849013764722066,EFO_0000272,0.611603328967809,"neoplasm: A benign or malignant tissue growth resulting from uncontrolled cell proliferation. Benign neoplastic cells resemble normal cells without exhibiting significant cytologic atypia, while malignant cells exhibit overt signs such as dysplastic features, atypical mitotic figures, necrosis, nuclear pleomorphism, and anaplasia. Representative examples of benign neoplasms include papillomas, cystadenomas, and lipomas; malignant neoplasms include carcinomas, sarcomas, lymphomas, and leukemias.","astrocytoma: A glial tumor of the brain or spinal cord showing astrocytic differentiation. It includes the following clinicopathological entities: pilocytic astrocytoma, diffuse astrocytoma, anaplastic astrocytoma, pleomorphic xanthoastrocytoma, subependymal giant cell astrocytoma, and glioblastoma.",ENSG00000163041
BOLA3,4,BAT,BLOOD,SKM-GN,SKM-VL,"","",EFO_0000618,0.820885948967683,Orphanet_401874,0.787704190026842,"nervous system disease: A non-neoplastic or neoplastic disorder that affects the brain, spinal cord, or peripheral nerves.",Fatal multiple mitochondrial dysfunction syndrome type 2: Any fatal multiple mitochondrial dysfunctions syndrome in which the cause of the disease is a mutation in the BOLA3 gene.,ENSG00000163170
CHD3,4,BLOOD,HEART,LUNG,SPLEEN,"","",EFO_0000508,0.796148726166376,EFO_0010643,0.781966615988522,"genetic disorder: Genetic diseases are diseases in which inherited genes predispose to increased risk. The genetic disorders associated with cancer often result from an alteration or mutation in a single gene. The diseases range from rare dominant cancer family syndrome to familial tendencies in which low-penetrance genes may interact with other genes or environmental factors to induce cancer. Research may involve clinical, epidemiologic, and laboratory studies of persons, families, and populations at high risk of these disorders.","Snijders Blok-Campeau syndrome: Snijders Blok-Campeau syndrome (SNIBCPS) is an autosomal dominant neurodevelopmental disorder characterized by global developmental delay with impaired intellectual development and delayed speech acquisition. Affected individuals tend to have expressive language deficits, with speech apraxia and dysarthria. Other features include macrocephaly and characteristic facial features, such as prominent forehead and hypertelorism, hypotonia, and joint laxity. The severity of the neurologic deficits and presence of nonneurologic features is variable (summary by Snijders Blok et al., 2018).",ENSG00000170004
TUBB4B,4,ADRNL,BLOOD,HEART,SKM-GN,"","",EFO_0000508,0.788212919780825,EFO_0000181,0.606094783185865,"genetic disorder: Genetic diseases are diseases in which inherited genes predispose to increased risk. The genetic disorders associated with cancer often result from an alteration or mutation in a single gene. The diseases range from rare dominant cancer family syndrome to familial tendencies in which low-penetrance genes may interact with other genes or environmental factors to induce cancer. Research may involve clinical, epidemiologic, and laboratory studies of persons, families, and populations at high risk of these disorders.","head and neck squamous cell carcinoma: A squamous cell carcinoma that arises from any of the following anatomic sites: lip and oral cavity, nasal cavity, paranasal sinuses, pharynx, larynx, and salivary glands.",ENSG00000188229
COX6B1,4,BAT,BLOOD,SKM-GN,SKM-VL,"","",EFO_0000508,0.783442970963078,Orphanet_254905,0.657158253221048,"genetic disorder: Genetic diseases are diseases in which inherited genes predispose to increased risk. The genetic disorders associated with cancer often result from an alteration or mutation in a single gene. The diseases range from rare dominant cancer family syndrome to familial tendencies in which low-penetrance genes may interact with other genes or environmental factors to induce cancer. Research may involve clinical, epidemiologic, and laboratory studies of persons, families, and populations at high risk of these disorders.","Isolated cytochrome C oxidase deficiency: A very rare inherited metabolic disorder characterized by deficiency of the enzyme cytochrome-C oxidase. It may be manifested as an isolated myopathy or a systemic disorder. Signs and symptoms include myotonia, dysfunction of the heart, kidney, and brain, and lactic acidosis.",ENSG00000126267
MT-CYB,4,BAT,COLON,SKM-GN,SKM-VL,"","",EFO_0000508,0.771810237004915,Orphanet_104,0.713560909483585,"genetic disorder: Genetic diseases are diseases in which inherited genes predispose to increased risk. The genetic disorders associated with cancer often result from an alteration or mutation in a single gene. The diseases range from rare dominant cancer family syndrome to familial tendencies in which low-penetrance genes may interact with other genes or environmental factors to induce cancer. Research may involve clinical, epidemiologic, and laboratory studies of persons, families, and populations at high risk of these disorders.",Leber hereditary optic neuropathy: Leber's hereditary optic neuropathy (LHON) is a mitochondrial neurodegenerative disease affecting the optic nerve and often characterized by sudden vision loss in young adult carriers.,ENSG00000198727
LDHA,4,LIVER,LUNG,SKM-GN,SKM-VL,"","",OTAR_0000018,0.74819071982548,Orphanet_284426,0.697340638814592,"genetic, familial or congenital disease: A disease caused by genetic modifications inherited from parents genome, occurring in or affecting members of a family more than expected by chance or existing at, and usually before, birth.","Glycogen storage disease due to lactate dehydrogenase M-subunit deficiency: A condition that affects how the body breaks down sugar to use as energy in muscle cells. People withthis conditionexperience fatigue, muscle pain, and cramps during exercise (exercise intolerance). In some people,high-intensity exercise or other strenuous activity leads to the breakdown of muscle tissue (rhabdomyolysis), which can lead to myoglobinuria (rust-colored urine indicating breakdown of muscle tissue) and kidney damage. A skin rash may also develop. The severity of the signs and symptoms varies greatly among affected individuals. Lactate dehydrogenase A deficiency is caused by mutations in the LDHA gene. This condition is inherited in an autosomal recessive pattern.",ENSG00000134333
MCEE,4,BAT,SKM-GN,SKM-VL,WAT-SC,"","",EFO_0000589,0.737114504718459,Orphanet_308425,0.736763705644995,"metabolic disease: Generic term for diseases caused by an abnormal metabolic process. It can be congenital due to inherited enzyme abnormality (METABOLISM, INBORN ERRORS) or acquired due to disease of an endocrine organ or failure of a metabolically important organ such as the liver. (Stedman, 26th ed)","Methylmalonic acidemia due to methylmalonyl-CoA epimerase deficiency: Methylmalonic acidemia due to methylmalonyl-CoA epimerase deficiency is a rare inborn error of metabolism disease characterized by mild to moderate, persistent elevation of methylmalonic acid in plasma, urine and cerebrospinal fluid. Clinical presentation may include acute metabolic decompensation with metabolic acidosis (presenting with vomiting, dehydration, confusion, hallucinations), nonspecific neurological symptoms, or may also be asymptomatic.",ENSG00000124370
LYZ,4,HEART,KIDNEY,SKM-GN,SPLEEN,"","",EFO_0009690,0.732077914879388,Orphanet_85450,0.681786935205607,urinary system disease: A disease involving the renal system.,Familial renal amyloidosis: NA,ENSG00000090382
BCKDK,4,BLOOD,SKM-GN,SKM-VL,SPLEEN,"","",EFO_0000589,0.726455358333385,Orphanet_308410,0.723391584629837,"metabolic disease: Generic term for diseases caused by an abnormal metabolic process. It can be congenital due to inherited enzyme abnormality (METABOLISM, INBORN ERRORS) or acquired due to disease of an endocrine organ or failure of a metabolically important organ such as the liver. (Stedman, 26th ed)",Autism-epilepsy syndrome due to branched chain ketoacid dehydrogenase kinase deficiency: NA,ENSG00000103507
ISCU,4,BAT,BLOOD,SKM-VL,SPLEEN,"","",EFO_0002970,0.714308784913227,Orphanet_43115,0.71132264673134,"muscular disease: Acquired, familial, and congenital disorders of SKELETAL MUSCLE and SMOOTH MUSCLE.",Hereditary myopathy with lactic acidosis due to ISCU deficiency: Aconitase deficiency is characterised by myopathy with severe exercise intolerance and deficiencies of skeletal muscle succinate dehydrogenase and aconitase.,ENSG00000136003
GPNMB,4,BAT,BLOOD,COLON,SPLEEN,"","",EFO_0000508,0.685595702670856,Orphanet_353220,0.597936364412391,"genetic disorder: Genetic diseases are diseases in which inherited genes predispose to increased risk. The genetic disorders associated with cancer often result from an alteration or mutation in a single gene. The diseases range from rare dominant cancer family syndrome to familial tendencies in which low-penetrance genes may interact with other genes or environmental factors to induce cancer. Research may involve clinical, epidemiologic, and laboratory studies of persons, families, and populations at high risk of these disorders.",Familial primary localized cutaneous amyloidosis: NA,ENSG00000136235
DLST,4,BAT,BLOOD,SKM-VL,SPLEEN,"","",EFO_0000616,0.657610244560952,EFO_1000453,0.600876832424088,"neoplasm: A benign or malignant tissue growth resulting from uncontrolled cell proliferation. Benign neoplastic cells resemble normal cells without exhibiting significant cytologic atypia, while malignant cells exhibit overt signs such as dysplastic features, atypical mitotic figures, necrosis, nuclear pleomorphism, and anaplasia. Representative examples of benign neoplasms include papillomas, cystadenomas, and lipomas; malignant neoplasms include carcinomas, sarcomas, lymphomas, and leukemias.","Paraganglioma: A benign or malignant neoplasm arising from paraganglia located along the sympathetic or parasympathetic nerves. Infrequently, it may arise outside the usual distribution of the sympathetic and parasympathetic paraganglia. Tumors arising from the adrenal gland medulla are called pheochromocytomas. Morphologically, paragangliomas usually display a nesting (Zellballen) growth pattern. There are no reliable morphologic criteria to distinguish between benign and malignant paragangliomas. The only definitive indicator of malignancy is the presence of regional or distant metastases.",ENSG00000119689
NDUFB4,4,BAT,HEART,SKM-GN,SKM-VL,"","",OTAR_0000017,0.648963852515508,MONDO_0005148,0.607452603413057,reproductive system or breast disease: A disease involving the reproductive system or the breast.,type 2 diabetes mellitus: A type of diabetes mellitus that is characterized by insulin resistance or desensitization and increased blood glucose levels. This is a chronic disease that can develop gradually over the life of a patient and can be linked to both environmental factors and heredity.,ENSG00000065518
COX4I1,4,BAT,BLOOD,SKM-GN,SKM-VL,"","",EFO_0000508,0.592932876830561,MONDO_0033651,0.369579854684702,"genetic disorder: Genetic diseases are diseases in which inherited genes predispose to increased risk. The genetic disorders associated with cancer often result from an alteration or mutation in a single gene. The diseases range from rare dominant cancer family syndrome to familial tendencies in which low-penetrance genes may interact with other genes or environmental factors to induce cancer. Research may involve clinical, epidemiologic, and laboratory studies of persons, families, and populations at high risk of these disorders.","mitochondrial complex 4 deficiency, nuclear type 16: NA",ENSG00000131143
UQCRQ,4,BAT,BLOOD,SKM-GN,SKM-VL,"","",EFO_0000508,0.563542338106711,Orphanet_1460,0.55945016758423,"genetic disorder: Genetic diseases are diseases in which inherited genes predispose to increased risk. The genetic disorders associated with cancer often result from an alteration or mutation in a single gene. The diseases range from rare dominant cancer family syndrome to familial tendencies in which low-penetrance genes may interact with other genes or environmental factors to induce cancer. Research may involve clinical, epidemiologic, and laboratory studies of persons, families, and populations at high risk of these disorders.","Isolated CoQ-cytochrome C reductase deficiency: Isolated complex III deficiency is a rare, genetic, mitochondrial oxidative phosphorylation disorder characterized by a wide spectrum of clinical manifestations ranging from isolated myopathy or transient hepatopathy to severe multisystem disorder (that may include hypotonia, failure to thrive, psychomotor delay, cardiomyopathy, encephalopathy, renal tubulopathy, hearing impairment, lactic acidosis, hypoglycemia and other signs and symptoms).",ENSG00000164405
CXCL12,4,CORTEX,SKM-GN,SKM-VL,SPLEEN,"","",EFO_0001444,0.535146018041715,EFO_0005091,0.475352918608847,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,monocyte count: quantification of monocytes in the blood,ENSG00000107562
TMOD1,4,BLOOD,HEART,SKM-GN,SKM-VL,"","",MONDO_0000651,0.534534780174894,EFO_0000280,0.451664705175534,"thoracic disorder: A non-neoplastic or neoplastic disorder that affects the thorax and/or the organs of the thoracic cavity. Representative examples include pleural infection, mediastinitis, thymoma, mediastinal lymphoma, and pleural mesothelioma.",Barrett's esophagus: Esophageal lesion lined with columnar metaplastic epithelium which is flat or villiform. Barrett epithelium is characterized by two different types of cells: goblet cells and columnar cells. The symptomatology of Barrett esophagus is that of gastro-esophageal reflux. It is the precursor of most esophageal adenocarcinomas. (WHO),ENSG00000136842
HSPA8,4,LIVER,LUNG,SKM-GN,SKM-VL,"","",EFO_0001444,0.483093366520214,EFO_0004528,0.452822038623628,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,mean corpuscular hemoglobin concentration: The mean corpuscular hemoglobin concentration is a measure of the concentration of hemoglobin in a given volume of packed red blood cell,ENSG00000109971
BSG,4,BLOOD,HEART,LUNG,WAT-SC,"","",OTAR_0000018,0.410379102954348,Orphanet_68367,0.369579854684702,"genetic, familial or congenital disease: A disease caused by genetic modifications inherited from parents genome, occurring in or affecting members of a family more than expected by chance or existing at, and usually before, birth.","Inborn errors of metabolism: An inherited disorder resulting from an enzyme defect in biochemical and metabolic pathways affecting proteins, fats, carbohydrates metabolism or organelle function.",ENSG00000172270
ADHFE1,4,LUNG,SKM-GN,SKM-VL,WAT-SC,"","",EFO_0001444,0.36546521950006,EFO_0005664,0.312508412609324,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,blood metabolite measurement: quantification of some metabolite in blood,ENSG00000147576
MAT2A,4,BLOOD,HEART,HIPPOC,SKM-GN,"","",EFO_0000616,0.350401360770347,EFO_0004309,0.280522386699524,"neoplasm: A benign or malignant tissue growth resulting from uncontrolled cell proliferation. Benign neoplastic cells resemble normal cells without exhibiting significant cytologic atypia, while malignant cells exhibit overt signs such as dysplastic features, atypical mitotic figures, necrosis, nuclear pleomorphism, and anaplasia. Representative examples of benign neoplasms include papillomas, cystadenomas, and lipomas; malignant neoplasms include carcinomas, sarcomas, lymphomas, and leukemias.",platelet count: The number of PLATELETS per unit volume in a sample of venous BLOOD.,ENSG00000168906
HSPA5,4,COLON,HEART,SKM-GN,SKM-VL,"","",OTAR_0000010,0.293899436894781,EFO_0000304,0.257593168047694,respiratory or thoracic disease: A disease affecting the respiratory system or other thoracic organs.,breast adenocarcinoma: A carcinoma that arises from glandular epithelial cells of the breast,ENSG00000044574
ATP5IF1,4,BAT,BLOOD,KIDNEY,SKM-GN,"","",EFO_0001444,0.273175883586347,EFO_0004348,0.231802622247315,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,"hematocrit: The volume of packed RED BLOOD CELLS in a blood specimen. The volume is measured by centrifugation in a tube with graduated markings, or with automated blood cell counters. It is an indicator of erythrocyte status in disease. For example, ANEMIA shows a low value; POLYCYTHEMIA, a high value.",ENSG00000130770
STIP1,4,ADRNL,BAT,LIVER,SKM-GN,"","",EFO_0001444,0.217050533039757,EFO_0004584,0.195512370906945,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,mean platelet volume: A measurement of mean platelet volume is a machine-calculated measurement of the average size of platelets found in blood,ENSG00000168439
GHITM,4,BAT,KIDNEY,SKM-GN,SPLEEN,"","",EFO_0000684,0.166164417093896,EFO_1001488,0.151585115539115,"respiratory system disease: A non-neoplastic or neoplastic disorder that affects the respiratory system. Representative examples include pneumonia, chronic obstructive pulmonary disease, pulmonary failure, lung adenoma, lung carcinoma, and tracheal carcinoma.",influenza A (H1N1): Viral infectious disease caused by the H1N1 strain of the influenza type A virus. Symptoms can range from mild to extremely severe.,ENSG00000165678
SH3GLB1,4,BLOOD,HEART,SKM-GN,SKM-VL,"","",MONDO_0045024,0.0279397577594676,EFO_0000311,0.0232726795998514,"cancer or benign tumor: Any disorder that features disrupted cell proliferation. Includes hyperplasia, neoplastic syndrome and isolated neoplasm diseases as well as precancerous conditions.","cancer: A tumor composed of atypical neoplastic, often pleomorphic cells that invade other tissues. Malignant neoplasms often metastasize to distant anatomic sites and may recur after excision. The most common malignant neoplasms are carcinomas (adenocarcinomas or squamous cell carcinomas), Hodgkin and non-Hodgkin lymphomas, leukemias, melanomas, and sarcomas.",ENSG00000097033
NDUFV1,3,BAT,SKM-GN,SKM-VL,"","","",EFO_0000589,0.891193232647279,Orphanet_2609,0.769316581513782,"metabolic disease: Generic term for diseases caused by an abnormal metabolic process. It can be congenital due to inherited enzyme abnormality (METABOLISM, INBORN ERRORS) or acquired due to disease of an endocrine organ or failure of a metabolically important organ such as the liver. (Stedman, 26th ed)",Isolated NADH-CoQ reductase deficiency: NA,ENSG00000167792
ATP1A2,3,BAT,SKM-GN,SPLEEN,"","","",EFO_0000319,0.888075897180085,Orphanet_569,0.835319597268587,cardiovascular disease: A disease involving the cardiovascular system.,Familial or sporadic hemiplegic migraine: Hemiplegic migraine (HM) is a rare variety of migraine with aura characterized by the presence of a motor weakness during the aura. Hemiplegic migraine has two main forms depending on the familial history: patients with at least one first- or second-degree relative who has aura including motor weakness have familial hemiplegic migraine (FHM); patients without such familial history have sporadic hemiplegic migraine (SHM).,ENSG00000018625
